Target Name	IC50 (nM)	Target Source Organism According to Curator or DataSource	Ligand SMILES
Cathepsin S	 0.015	Homo sapiens	COC1=CC(=O)N([C@H]1Cc1c[nH]c2ccccc12)C(=O)\C=C\[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)C1CCN(C)CC1
Cathepsin S	 0.029	Homo sapiens	FC(F)(F)c1ccc(CNC(=O)c2cnc(nc2N2CC[C@@H](C2)S(=O)(=O)c2ccccc2C(F)(F)F)C#N)cc1
Cathepsin S	 0.052	Homo sapiens	FC(F)(F)c1cc(nc(n1)C#N)N1CC[C@@H](C1)S(=O)(=O)c1ccc(cc1Cl)-n1cccn1
Cathepsin S	 0.056	Homo sapiens	CC(CNC(=O)c1cnc(nc1N1CC[C@@H](C1)S(=O)(=O)c1ccccc1C(F)(F)F)C#N)c1ccc(Cl)cc1
Cathepsin S	 0.056	Homo sapiens	FC(F)(F)c1cc(nc(n1)C#N)N1CC[C@@H](C1)S(=O)(=O)c1ccc(cc1Cl)N1CCN(CC1)C1CC1
Cathepsin S	 0.061	Homo sapiens	FC(F)(F)CNC(=O)c1cnc(nc1N1CC[C@@H](C1)S(=O)(=O)c1ccccc1C(F)(F)F)C#N
Cathepsin S	 0.1	Homo sapiens	C[C@H]1CC[C@@H](CC1)[C@](C)(NC(=O)c1ccsc1)c1cn(CC#N)nn1
Cathepsin S	<0.1	Homo sapiens	O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@H]1[C@H](NC1=O)Oc1ccccc1)OCc1ccccc1
Cathepsin S	 0.1	Homo sapiens	C[C@H](C#N)n1cc(nn1)[C@@](C)(NC(=O)c1ccsc1)[C@H]1CC[C@H](C)CC1
Cathepsin S	 0.11	Homo sapiens	FC(F)(F)c1cc(nc(n1)C#N)N1CC[C@@H](C1)S(=O)(=O)c1ccc(cc1Cl)-n1ccnc1
Cathepsin S	 0.13	Homo sapiens	COCCOc1ccc(c(Cl)c1)S(=O)(=O)[C@H]1CCN(C1)c1cc(nc(n1)C#N)C(F)(F)F
Cathepsin S	 0.13	Homo sapiens	O=C(NCCc1ccccc1)c1cnc(nc1NC1CCCCC1)C#N
Cathepsin S	 0.15	Homo sapiens	CC(C)(C)N1CCN(CC1)c1ccc(c(Cl)c1)S(=O)(=O)[C@H]1CCN(C1)c1cc(nc(n1)C#N)C(F)(F)F
Cathepsin S	 0.155	Homo sapiens	FC(F)(F)c1ccc(CNC(=O)c2cnc(nc2N2CC[C@@H](C2)S(=O)(=O)c2cccc(Cl)c2Cl)C#N)cc1
Cathepsin S	 0.167	Homo sapiens	FC(F)(F)c1cc(nc(n1)C#N)N1CC[C@@H](C1)S(=O)(=O)c1ccccc1C(F)(F)F
Cathepsin S	 0.200000		Clc1ccccc1S(=O)(=O)[C@@H]1C[C@H](N(C1)C(=O)C1CCCCC1)C(=O)NC1(CC1)C#N
Cathepsin S	 0.2	Homo sapiens	FC(F)(F)[C@@H](N[C@@H](CS(=O)(=O)c1cccc(Br)c1)C(=O)NC1(CC1)C#N)c1ccccc1
