Smiles	Standard Type	Standard Relation	Standard Value	Standard Units	Assay Description
C[C@@H](NC(=O)N1C(=O)CC1Sc1ccccc1)c1ccccc1	IC50	'>'	75000.0	nM	Inhibitory activity against Cathepsin B
CC[C@@H](NC(=O)N1C(=O)CC1SCc1ccccn1)c1ccccc1	IC50	'>'	75000.0	nM	Inhibitory activity against Cathepsin B
CCCC(CCC)C(=O)N[C@H](C=O)Cc1c[nH]c2ccccc12	IC50	'>'	1000.0	nM	Inhibition of human cathepsin B
Cc1cccc(O[C@H]2CCN3C[C@H]2OC3=O)c1C	IC50	'='	1.0	nM	Inhibition of human recombinant cathepsin B
NC(=S)NN=C1c2ccccc2-c2ccccc21	IC50	'>'	10000.0	nM	Inhibition of human liver cathepsin B after 5 mins by microplate reader analysis
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3ccccc3)nc3ccccc23)CN1C(=O)[C@@H](NC(=O)[C@@H](NC(C)=O)C1CCCCC1)C(C)C)C(=O)O	IC50	'>'	30000.0	nM	Inhibition of human cathepsin B
CC(C)C[C@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NCC#N	IC50	'='	4807.0	nM	Potency against Cathepsin B in HepG2 cells by whole cell enzyme occupancy assay
O=C1O[C@@H]2CN1CC[C@@H]2OCc1ccccc1	IC50	'='	2.0	nM	Inhibition of human recombinant cathepsin B
Nc1cc(OC(=O)c2cccs2)nn1S(=O)(=O)c1ccccc1	IC50	'>'	50000.0	nM	Inhibition of human liver cathepsin B pre-incubated for 24 hrs in assay buffer with DTT
Cc1cccc(C[C@H](NC(=O)C(c2ccccc2)c2ccccc2)C(=O)NCC#N)c1	IC50	'='	45.0	nM	Inhibitory activity against recombinant human cathepsin B (cat B) expressed in baculovirus.
COC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)N(C)C(=O)[C@H](C)NC(=O)[C@@H](NC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](OC(=O)[C@@H](OC(=O)[C@H](C(C)C)N(C)C)C(C)C)C(C)C)[C@@H](C)O	IC50	'='	10000.0	nM	Inhibition of cathepsin B after 10 to 15 mins by fluorescence assay
CC(C)C[C@H](Nc1cccc(-c2ccc(N3CCNCC3)cc2)c1)C(=O)NCC#N	IC50	'='	93.0	nM	Inhibitory concentration against human cathepsin B
N#C[C@]1(NC(=O)C(N)Cc2cncs2)C[C@H]1c1ccccc1.O=C(O)C(F)(F)F	IC50				Inhibition of human recombinant cathepsin B after 10 mins
N#C[C@]1(NC(=O)[C@H](N)Cc2cccs2)C[C@H]1c1ccccc1.O=C(O)C(F)(F)F	IC50	'>'	50000.0	nM	Inhibition of human recombinant cathepsin B after 10 mins
CC[C@H](C)[C@@H](C(=O)O[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)/C=C/C(=O)N1C(=O)C=C(OC)[C@@H]1C)N(C)C	IC50	'='	4200.0	nM	Inhibition of human Cathepsin B using Z-Phe-Arg-aminomethylcoumarin as substrate
