Smiles	Standard Type	Standard Relation	Standard Value	Standard Units	Assay Description
Cc1cc(C2(c3cccc(-c4cncnc4)c3)N=C(N)N(C)C2=O)c(Cl)s1	IC50	'='	31650.0	nM	Inhibition of cathepsin D by FRET assay
CN1C(=O)C(c2ccsc2)(c2ccc(F)c(-c3cccnc3)c2)N=C1N	IC50	'='	12800.0	nM	Inhibition of cathepsin D by FRET assay
CC(C)n1cc(C2(c3ccc(F)c(-c4cccnc4F)c3)N=C(N)N(C)C2=O)cn1	IC50	'='	4850.0	nM	Inhibition of cathepsin D by FRET assay
CN1C(=O)C(c2cccc(-c3cccnc3F)c2)(c2cnn(C3CCCC3)c2)N=C1N	IC50	'='	1790.0	nM	Inhibition of cathepsin D by FRET assay
NC1=N[C@](CF)(c2cc(NC(=O)c3ccc(Br)cn3)ccc2F)C[C@@H](C(F)(F)F)O1	IC50	'>'	400000.0	nM	In Vitro Enzymatic Cathepsin D FRET Assay: Recombinant Cat D was expressed in CHO cells. The assay buffer for CathepsinD is 0.05 M citrate pH 3.5, 10% DMSO final, 5 mM CHAPS. The Cat D enzyme (9 nM) is pre-incubated for one hour with inhibitors, typically in about 1 uL of DMSO according to a serial dilution, is added thereto. The assays are effectively started by the addition of different FRET substrates (20 nM for Cat D) and the combination is incubated for one hour. The FRET assay is terminated with by addition of Tris buffer, which raises the pH to neutrality, and the fluorescence is determined. The FRET substrate is a peptide with commercially available fluorophore and quencher, on opposite sides of the BACE cleavage site. The Cat D substrate peptide sequence is based on sequence #1 of Table 1 from Gulnik et al. FEBS Letters v413 p 379-384 1997. Proteolytic cleavage of the FRET substrate releases quenching of fluorescence (Cat D excitation 500 nm and emission 580 nm).
CC#CCOc1cnc(C(=O)Nc2ccc(F)c([C@]3(CF)C[C@@H](C(F)(F)F)OC(N)=N3)c2)cn1	IC50	'>'	400000.0	nM	In Vitro Enzymatic Cathepsin D FRET Assay: Recombinant Cat D was expressed in CHO cells. The assay buffer for CathepsinD is 0.05 M citrate pH 3.5, 10% DMSO final, 5 mM CHAPS. The Cat D enzyme (9 nM) is pre-incubated for one hour with inhibitors, typically in about 1 uL of DMSO according to a serial dilution, is added thereto. The assays are effectively started by the addition of different FRET substrates (20 nM for Cat D) and the combination is incubated for one hour. The FRET assay is terminated with by addition of Tris buffer, which raises the pH to neutrality, and the fluorescence is determined. The FRET substrate is a peptide with commercially available fluorophore and quencher, on opposite sides of the BACE cleavage site. The Cat D substrate peptide sequence is based on sequence #1 of Table 1 from Gulnik et al. FEBS Letters v413 p 379-384 1997. Proteolytic cleavage of the FRET substrate releases quenching of fluorescence (Cat D excitation 500 nm and emission 580 nm).
[C-]#[N+]c1ccc(C(=O)Nc2cc(F)c(F)c([C@]3(CF)C[C@@H](C(F)(F)F)OC(N)=N3)c2)nc1	IC50	'='	2200000.0	nM	In Vitro Enzymatic Cathepsin D FRET Assay: Recombinant Cat D was expressed in CHO cells. The assay buffer for CathepsinD is 0.05 M citrate pH 3.5, 10% DMSO final, 5 mM CHAPS. The Cat D enzyme (9 nM) is pre-incubated for one hour with inhibitors, typically in about 1 uL of DMSO according to a serial dilution, is added thereto. The assays are effectively started by the addition of different FRET substrates (20 nM for Cat D) and the combination is incubated for one hour. The FRET assay is terminated with by addition of Tris buffer, which raises the pH to neutrality, and the fluorescence is determined. The FRET substrate is a peptide with commercially available fluorophore and quencher, on opposite sides of the BACE cleavage site. The Cat D substrate peptide sequence is based on sequence #1 of Table 1 from Gulnik et al. FEBS Letters v413 p 379-384 1997. Proteolytic cleavage of the FRET substrate releases quenching of fluorescence (Cat D excitation 500 nm and emission 580 nm).
CC1(c2cccc(Nc3cc(F)cc4cc(Cl)cnc34)c2)COCC(N)=N1	IC50	'='	2600.0	nM	Fluorescent Substrate Kinetic Assay: A substrate peptide is labeled at the N-terminus with tryptophan and at the C-terminus with the fluorophore MR121 (for cathepsin D the 10 amino acid peptide WTSVLMAAPC-MR121 was used; for cathepsin E, MR121-CKLVFFAEDW was used). The fluorescent substrate cathepsin D and cathepsin E kinetic assays were performed at room temperature in 384-well microtiter plates (black with clear flat bottom, non binding surface plates from Corning) in a final volume of 51 ul. The test compounds were serially diluted in DMSO (15 concentrations, 1/3 dilution steps) and 1 ul of diluted compounds were mixed for 10 min with 40 ul of cathepsin D (from human liver, Calbiochem) diluted in assay buffer (100 mM sodium acetate, 0.05% BSA, pH 5.5; final concentration: 200 nM) or with 40 ul of recombinant human cathepsin E (R&D Systems) diluted in assay buffer (100 mM sodium acetate, 0.05% BSA, pH 4.5; final concentration: 0.01 nM). After addition of 10 ul of the cathepsin D substrate WTSVLMAAPC-MR121 diluted in cathepsin D assay buffer (final concentration: 300 nM) or 10 ul of the cathepsin E substrate MR121-CKLVFFAEDW diluted in cathepsin E assay buffer (final concentration: 300 nM), the plates were strongly shaken for 2 minutes. The enzymatic reaction was followed in a plate: vision reader (Perkin Elmer) (excitation wavelength: 630 nm; emission: 695 nm) for at least 30 minutes in a kinetic measurement detecting an increase of MR121 fluorescence during the reaction time.
COc1ccc(C(=O)Nc2ccc3c(c2)C2(CCSC(N)=N2)c2cc(C4=CCCOC4)nc(F)c2O3)nc1	IC50	'='	569000.0	nM	Fluorescence Resonance Energy Transfer (FRET) Assay: Recombinant CathepsinD was expressed in CHO cells. The assay buffer for CathepsinD is 0.05 M citrate pH 3.5, 10% DMSO final, 5 mM CHAPS. The CathepsinD enzyme (9 nM) is pre-incubated for one hour with inhibitors, typically in about 1 uL of DMSO according to a serial dilution, is added thereto. The assays are effectively started by the addition of different FRET substrates (20 nM for CathepsinD) and the combination is incubated for one hour. The FRET assay is terminated with by addition of Tris buffer, which raises the pH to neutrality, and the fluorescence is determined. The FRET substrate is a peptide with commercially available fluorophore and quencher, on opposite sides of the BACE cleavage site.
CCCN(CCC)C(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(OC)c2)cc(N2CCCCS2(=O)=O)c1	IC50	'='	360.0	nM	Inhibition of human cathepsin-D using DABCYL-Glu-Arg-Nle-Phe-Leu-Ser-Phe-Pro-EDANS as substrate preincubated for 30 mins by FRET assay
