Target Name	IC50 (nM)	Target Source Organism According to Curator or DataSource	Ligand SMILES
Cathepsin D	2600.0	Homo sapiens	CC1(c2cccc(Nc3cc(F)cc4cc(Cl)cnc34)c2)COCC(N)=N1
Cathepsin D	10000.1	Homo sapiens	CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@H]1NCc2ccc(cc2)OCCOCCOCCNC(=O)[C@H](C(C)C)NC1=O
Cathepsin D	10000.1	Homo sapiens	CCOc1ccc2nc(Sc3ccc(NC(=O)c4cc(Cl)ccc4O)cc3)sc2c1
Cathepsin D	1800.0	Homo sapiens	CCOc1ccc2sc(Sc3ccc(NC(=O)c4cc(Cl)cc(Cl)c4O)cc3)nc2c1
Cathepsin D	1600.0	Homo sapiens	N#Cc1cc(NC(=O)c2cc(Cl)cc(Cl)c2O)ccc1Sc1nc2ccccc2s1
Cathepsin D	81.0	Homo sapiens	CC[C@H](C)[C@H](NC(=O)C[C@H](N)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@@H](N)Cc1ccccc1)C(C)C)C(=O)N[C@H](C(=O)OC)C(C)C
Cathepsin D	2116.0	Homo sapiens	COc1cccc(CNC[C@@H](O)[C@H](Cc2ccccc2)NC(=O)CCS(=O)(=O)NCCC(C)C)c1
Cathepsin D	10986.0	Homo sapiens	CCCC(C)S(=O)(=O)CCC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNCc1cccc(OC)c1
Cathepsin D	6042.0	Homo sapiens	COc1cccc(CNC[C@@H](O)[C@H](Cc2ccccc2)NC(=O)CCS(=O)(=O)c2ccccc2)c1
Cathepsin D	9.0	Homo sapiens	Cc1cccc(C(=O)NNc2c3ccccc3nc3c(C)c(C)ccc23)c1
Cathepsin D	60.0	Homo sapiens	COc1cc(C(=O)c2c(OCC(=O)O)ccc3ccccc23)cc(OC)c1OC
Cathepsin D	4800.0	Homo sapiens	CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCCNC(=N)N)NC(=O)OCc1ccccc1)[C@@H](O)CC(=O)NC1CCCCC1.O=C(O)C(F)(F)F
Cathepsin D	100000.1	Homo sapiens	CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)OCc1ccccc1)[C@@H](O)CC(=O)NCc1ccccc1.O=C(O)C(F)(F)F
Cathepsin D	100000.1	Homo sapiens	CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)NCCCC(N)=O.O=C(O)C(F)(F)F
Cathepsin D	43.0	Homo sapiens	CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CCc1ccccc1)NC(=O)OCc1ccccc1)[C@@H](O)CC(=O)NC1CCCCC1
Cathepsin D	90.0	Homo sapiens	CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(C)=O)C(=O)N[C@@H](CC(C)C)[C@@H](O)[C@@H]1CCC[C@H]1C(=O)N[C@@H](C)C(=O)O
Cathepsin D	130.0	Homo sapiens	CCCCNC(=O)[C@@H](NC(=O)[C@@H]1C(=O)N(CC)C[C@H]1[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(C)C)NC(C)=O)C(C)C
Cathepsin D	46.0	Homo sapiens	CC[C@H](C)[C@H](NC(=O)C[C@H](N)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)CC(C)C)C(C)C)C(=O)Nc1ccn(C)n1
Cathepsin D	28.0	Homo sapiens	CC[C@H](C)[C@H](NC(=O)C[C@H](N)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)Cc1cccc(OC(F)(F)F)c1)C(C)C)C(=O)NCCC(C)C
Cathepsin D	1800.0	Homo sapiens	CCOc1ccc2nc(Sc3ccc(NC(=O)c4cc(Cl)ccc4NS(=O)(=O)c4ccccc4C(=O)O)cc3)sc2c1
Cathepsin D	1400.0	Homo sapiens	CC(C)c1cccc(CNC[C@@H](O)[C@@H]2C[C@H](C)CCCCCCCCC(=O)N(C)[C@@H](C)C(=O)N2)c1
Cathepsin D	1.0	Homo sapiens	CC(C)c1ccc2c(c1)[C@@H](NC[C@@H](O)[C@@H]1C[C@H](C)CCCCCCCCC(=O)N(C)[C@@H](C)C(=O)N1)CC(C)(C)O2
Cathepsin D	3200.0	Homo sapiens	O=C(Nc1ccc(Sc2nc3ccccc3o2)cc1)c1cc(Cl)cc(Cl)c1O
Cathepsin D	60.0	Homo sapiens	CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](N)CCC(=O)O)C(C)C)[C@@H](O)[C@@H]1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)O
Cathepsin D	25.0	Homo sapiens	CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(C)=O)C(=O)N[C@@H](CC(C)C)[C@@H](O)[C@@H]1CCC[C@H]1C(=O)N[C@H](C(=O)O)C(C)C
Cathepsin D	2000.0	Homo sapiens	O=C(Cn1c(-c2ccccn2)nc2ccccc21)c1ccc(-c2ccccc2)cc1
Cathepsin D	14300.0	Homo sapiens	COc1ccc(C2(c3cccc(-c4cncnc4)c3)N=C(N)N(C)C2=O)cc1C
Cathepsin D	12290.0	Homo sapiens	COc1cc(NC(=O)/C=C/COc2ccc3ccccc3c2C(=O)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC
Cathepsin D	1000000.1	Homo sapiens	COc1ccc(NC(=O)COc2ccc3ccccc3c2C(=O)c2cc(OC)c(OC)c(OC)c2)cc1
Cathepsin D	300000.1	Homo sapiens	C[C@@H]1C[C@H]1COC(C)(C)[C@@H]1C[C@H]1[C@]12CN(c3ncccn3)C[C@H]1CSC(N)=N2
Cathepsin D	40900.0	Homo sapiens	Cl.Cl.NC1=N[C@@]2(c3cccs3)CN(c3ncccn3)C[C@H]2CS1
Cathepsin D	29000.0	Homo sapiens	Cl.NC1=N[C@@]2(c3ccns3)CN(c3ncc(F)cn3)C[C@H]2CS1
Cathepsin D	169000.0	Homo sapiens	NC1=N[C@@]2(c3cc(NC(=O)c4ncc(F)cc4F)ccc3F)CN(c3ncc(F)cn3)C[C@H]2CS1
Cathepsin D	1000000.1	Homo sapiens	CCOC(=O)COc1ccc2ccccc2c1C(=O)c1cc(OC)c(OC)c(OC)c1
Cathepsin D	12500.0	Homo sapiens	CC(C)C(NC(=O)C[C@@H]1O[C@@H]1[C@H](Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1)C(C)C
Cathepsin D	7000.1	Homo sapiens	CCOc1ccc2nc(Sc3ccc(NC(=O)c4cc(Cl)cc(Cl)c4OC)cc3)sc2c1
Cathepsin D	3709.0	Homo sapiens	CN1C(=O)C2(CC(C)(C)Oc3ccc(-c4cccnc4F)cc32)N=C1N
Cathepsin D	30000.0	Homo sapiens	CN1C(=O)C(c2ccncc2)(c2cccc(-c3ccccc3)c2)N=C1N
Cathepsin D	31900.0	Homo sapiens	O=C(Cn1c(-c2ccccn2)nc2ccccc21)c1ccc(Cl)cc1
Cathepsin D	100000.1	Homo sapiens	CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CCCNC(=N)N)NS(=O)(=O)Cc1ccccc1)[C@@H](O)CC(=O)NCCc1ccccc1.O=C(O)C(F)(F)F
Cathepsin D	10000.1	Homo sapiens	CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@H]1NCc2ccc(cc2)OCCOCCNC(=O)[C@H](C(C)C)NC1=O
Cathepsin D	8100.0	Homo sapiens	CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCCCCCCC(=O)N(C)[C@@H](C)C(=O)N1
Cathepsin D	2410.0	Homo sapiens	COc1ccc(C2(c3ccc(F)c(-c4cccnc4F)c3)N=C(N)N(C)C2=O)cc1C
Cathepsin D	2400.0	Homo sapiens	NC1=NC(c2ccc(OC(F)(F)F)cc2)(c2cccc(-c3cccnc3F)c2)C2=NOCCN12
Cathepsin D	26180.0	Homo sapiens	CN1C(=O)C(c2ccc(OC(F)(F)F)cc2)(c2cccc(-c3cncnc3)c2F)N=C1N
Cathepsin D	106000.0	Homo sapiens	C[C@@]1(c2nc(NC(=O)c3ncc(OCC(F)(F)F)nc3N)ccc2F)CO[C@@](C)(C(F)(F)F)C(N)=N1
Cathepsin D	10000.1	Homo sapiens	CCOc1ccc2nc(Sc3ccc(NC(=O)c4ccc(C(F)(F)F)cc4O)cc3)sc2c1
Cathepsin D	215.0	Homo sapiens	C[C@H]1C[C@@H](N2C(=N)N[C@](C)(c3cccc(Nc4cnc(C5CC5)nc4)c3Cl)CC2=O)CCO1
Cathepsin D	88464.0	Homo sapiens	CC1(C)Cc2ccc(-c3cncnc3)cc2[C@@]2(COC(N)=N2)C1
Cathepsin D	329.0	Homo sapiens	COCCN1C(=O)C2(CC(C)(C)Oc3ccc(-c4cccc(Cl)c4)cc32)N=C1N
Cathepsin D	6400.0	Homo sapiens	CCCN1C(=O)OC[C@@H]1Cc1cc(C[C@@H]2CS(=O)(=O)C[C@H](NCc3cccc(C(C)C)c3)[C@H]2O)ccc1O
Cathepsin D	10000.1	Homo sapiens	CCOc1ccc2nc(Sc3ccc(NC(=O)c4cccc(Cl)c4O)cc3)sc2c1
Cathepsin D	780.0	Homo sapiens	CCOc1ccc2nc(Sc3ccc(NC(=O)c4cc(Cl)cc(Cl)c4NC(=O)c4cc(Cl)cc(Cl)c4)cc3)sc2c1
Cathepsin D	2000.0	Homo sapiens	COc1ccc(CN[C@@H](C(=O)N[C@H](C(=O)NCc2nc3ccccc3[nH]2)C(C)C)[C@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)C(C)Oc2ccccc2)C(C)(C)C)cc1
Cathepsin D	8.0	Homo sapiens	CCN(CC)S(=O)(=O)c1ccc(C)c(NC(=O)[C@@H](CC2CCCCC2)NC(=N)NC(=O)Cc2ccc(OC)c(OC)c2)c1.O=C(O)C(F)(F)F
Cathepsin D	20000.0	Homo sapiens	Nc1nc2cc(-c3ccccc3)cc(-c3ccc(C(=O)O)cc3)c2c(=O)n1C[C@@H]1CC[C@H](c2ccccc2)O1
Cathepsin D	63.0	Homo sapiens	Cc1ccc(S(=O)(=O)N(C)C)cc1NC(=O)[C@@H](CC1CCCCC1)NC(=N)NC(=O)Cc1ccc(F)c(F)c1.O=C(O)C(F)(F)F
Cathepsin D	11.0	Homo sapiens	COc1ccc(CC(=O)NC(=N)N[C@H](CC2CCCCC2)C(=O)Nc2cc(S(=O)(=O)N(C(C)C)C(C)C)ccc2C)cc1OC.O=C(O)C(F)(F)F
Cathepsin D	5947.0	Homo sapiens	CNS(=O)(=O)c1ccc(C)c(NC(=O)[C@@H](C)NC(=N)NC(=O)Cc2ccc(OC)c(OC)c2)c1.O=C(O)C(F)(F)F
Cathepsin D	16.0	Homo sapiens	CNS(=O)(=O)c1ccc(C)c(NC(=O)[C@@H](CC2CCCCC2)NC(=N)NC(=O)Cc2ccc(OC)c(C(F)(F)F)c2)c1.O=C(O)C(F)(F)F
Cathepsin D	26.0	Homo sapiens	COC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)N(C)C(=O)[C@H](C)NC(=O)[C@@H](NC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](OC(=O)[C@@H](OC(=O)[C@H](C(C)C)N(C)C)C(C)C)C(C)C)[C@@H](C)O
Cathepsin D	262000.0	Homo sapiens	Nc1ccc(C(=O)CCC2CNCC=C(COC(=O)c3ccc4ccccc4c3)C2)cc1
Cathepsin D	7500.0	Homo sapiens	C[C@]12CCOC[C@@H]1[C@]1(COC(N)=N1)c1cc(-c3cc(F)cc(Cl)c3)ccc1O2
Cathepsin D	6000.0	Homo sapiens	Nc1nc2cc(-c3ccc(CCCc4ccccc4)cc3)ccc2c(=O)n1C[C@@H]1CC[C@H](c2ccccc2)O1
Cathepsin D	2030.0	Homo sapiens	CCCCCCc1ccc(S(=O)(=O)C2C3CCC(N3)C2NCc2ccc3ccccc3c2)cc1
Cathepsin D	57.0	Homo sapiens	CC[C@H](C)[C@H](NC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)N(C)C(=O)[C@@H](NC(=O)[C@H](C)O)[C@@H](C)CC)C(=O)NCC(=O)N(C)[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)O
Cathepsin D	210.0	Homo sapiens	CC(C)[C@H](NC(=O)[C@H](C)C[C@H](O)[C@H](COCc1cc(F)cc(F)c1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)C(=O)NCc1ccccc1
Cathepsin D	5000.1	Homo sapiens	CNC(=O)c1cc(C(=O)N[C@@H](COCc2cc(F)cc(F)c2)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc2ccccc2)C(C)C)cc(N(C)S(C)(=O)=O)c1
Cathepsin D	42000.0	Homo sapiens	C[C@]12CCOC[C@@H]1[C@]1(COC(N)=N1)c1cc(-c3cccnc3F)ccc1O2
Cathepsin D	36.0	Homo sapiens	CNS(=O)(=O)c1ccc(C)c(NC(=O)[C@@H](CC2CCCCC2)NC(=N)NC(=O)Cc2ccc(Cl)c(Cl)c2)c1.O=C(O)C(F)(F)F
Cathepsin D	95.0	Homo sapiens	COc1ccc(CC(=O)NC(=N)N[C@H](CC2CC2)C(=O)Nc2cc(S(N)(=O)=O)ccc2C)cc1OC.O=C(O)C(F)(F)F
Cathepsin D	150.0	Homo sapiens	COc1cccc(C(C)(C)NC[C@@H](O)[C@H](Cc2ccccc2)NC(=O)c2cc(C(=O)NCC3CCCCC3)cc(N3CCCCC3)c2)c1
Cathepsin D	10800.0	Homo sapiens	NC1=NC(c2ccc(OC(F)(F)F)cc2)(c2cccc(-c3cccnc3F)c2)C2=NCCCCN12
Cathepsin D	7000.0	Homo sapiens	Clc1ccc2sc(SCCCc3ccc(OC4C5CCC(N5)C4OCc4ccc5ccccc5c4)cc3)nc2c1
