Smiles	Standard Type	Standard Relation	Standard Value	Standard Units	Assay Description
CC(C)C[C@H](N[C@@H](c1ccc(-c2ccc(N3CCNCC3)cc2)cc1)C(F)(F)F)C(=O)NCC#N	IC50	'='	12.0	nM	Potency against Cathepsin K in rabbit osteoclasts by bone resorption assay
CC(C)CC(Cc1cccc(Br)c1)C(=O)NCC#N	IC50	'='	3394.0	nM	Inhibitory concentration against humanized rabbit cathepsin K
CC(C)C[C@H](Nc1ccc(-c2ccc(N3CCNCC3)cc2)cc1)C(=O)NCC#N	IC50	'='	27.0	nM	Inhibitory concentration against humanized rabbit cathepsin K
N#CCNC(=O)C1(NC(=O)c2ccc(N3CCOCC3)cc2)CCCCC1	IC50	'='	72.0	nM	Inhibitory activity against rabbit cathepsin K
CC(C)CC(Cc1ccc(Br)cc1)C(=O)NCC#N	IC50	'='	2394.0	nM	Inhibitory concentration against humanized rabbit cathepsin K
CC(C)CC(Sc1ccccc1Br)C(=O)NCC#N	IC50	'='	433.0	nM	Inhibitory concentration against humanized rabbit cathepsin K
CC(C)C[C@H](Nc1ccccc1-c1ccc(N2CCNCC2)cc1)C(=O)NCC#N	IC50	'='	3.0	nM	Inhibitory concentration against humanized rabbit cathepsin K
CC(C)CC(Oc1ccc(Br)cc1)C(=O)NCC#N	IC50	'='	2999.0	nM	Inhibitory concentration against humanized rabbit cathepsin K
CC(C)CC(Sc1cccc(Br)c1)C(=O)NCC#N	IC50	'='	684.0	nM	Inhibitory concentration against humanized rabbit cathepsin K
CSc1ccc(-c2cnccc2C2CCC(F)(F)CC2C(=O)NCC#N)cc1	IC50	'='	1.0	nM	Inhibition of rabbit cathepsin K
CSc1ccc(-c2cn(C)nc2[C@@H]2CCC(F)(F)C[C@H]2C(=O)NCC#N)cc1	IC50	'='	0.41	nM	Inhibition of rabbit cathepsin K
CC(C)C[C@H](Nc1cscc1Br)C(=O)NCC#N	IC50	'='	43.0	nM	Inhibitory concentration against humanized rabbit cathepsin K
CC(C)CC(Sc1ccc(Br)cc1)C(=O)NCC#N	IC50	'='	675.0	nM	Inhibitory concentration against humanized rabbit cathepsin K
CS(=O)(=O)c1ccc(-c2c[nH]nc2[C@@H]2CCC(F)(F)C[C@H]2C(=O)NC2(C#N)CC2)cc1	IC50	'='	18.6	nM	Inhibition of rabbit cathepsin K
CSc1ccc(-c2ccccc2C2CCC(F)(F)CC2C(=O)NCC#N)cc1	IC50	'='	0.3	nM	Inhibition of rabbit cathepsin K
CC(C)C[C@H](Nc1cccc(-c2ccc(N3CCNCC3)cc2)c1)C(=O)NCC#N	IC50	'='	2.0	nM	Inhibitory concentration against humanized rabbit cathepsin K
