Target Name	IC50 (nM)	Target Source Organism According to Curator or DataSource	Ligand SMILES
Cathepsin K	3394.0	Homo sapiens	CC(C)CC(Cc1cccc(Br)c1)C(=O)NCC#N
Cathepsin K	27.0	Homo sapiens	CC(C)C[C@H](Nc1ccc(-c2ccc(N3CCNCC3)cc2)cc1)C(=O)NCC#N
Cathepsin K	2394.0	Homo sapiens	CC(C)CC(Cc1ccc(Br)cc1)C(=O)NCC#N
Cathepsin K	433.0	Homo sapiens	CC(C)CC(Sc1ccccc1Br)C(=O)NCC#N
Cathepsin K	3.0	Homo sapiens	CC(C)C[C@H](Nc1ccccc1-c1ccc(N2CCNCC2)cc1)C(=O)NCC#N
Cathepsin K	2999.0	Homo sapiens	CC(C)CC(Oc1ccc(Br)cc1)C(=O)NCC#N
Cathepsin K	684.0	Homo sapiens	CC(C)CC(Sc1cccc(Br)c1)C(=O)NCC#N
Cathepsin K	43.0	Homo sapiens	CC(C)C[C@H](Nc1cscc1Br)C(=O)NCC#N
Cathepsin K	675.0	Homo sapiens	CC(C)CC(Sc1ccc(Br)cc1)C(=O)NCC#N
Cathepsin K	2.0	Homo sapiens	CC(C)C[C@H](Nc1cccc(-c2ccc(N3CCNCC3)cc2)c1)C(=O)NCC#N
Cathepsin K	1.0	Homo sapiens	CC(C)C[C@H](Nc1cscc1-c1ccc(N2CCNCC2)cc1)C(=O)NCC#N
Cathepsin K	54.0	Homo sapiens	CC(C)CC(Nc1ccccc1Br)C(=O)NCC#N
Cathepsin K	208.0	Homo sapiens	CC(C)CC(Nc1ccc(Br)cc1)C(=O)NCC#N
Cathepsin K	1475.0	Homo sapiens	CC(C)CC(Oc1cccc(Br)c1)C(=O)NCC#N
Cathepsin K	1147.0	Homo sapiens	CC(C)CC(Oc1ccccc1Br)C(=O)NCC#N
Cathepsin K	72.0	Homo sapiens	CC(C)CC(Nc1cccc(Br)c1)C(=O)NCC#N
Cathepsin K	2352.0	Homo sapiens	CC(C)CC(Cc1ccccc1Br)C(=O)NCC#N
Cathepsin K	11.0	Homo sapiens	CC(C)C[C@@H](C(=O)NCC#N)c1cccc(-c2ccc(N3CCNCC3)cc2)c1
Cathepsin K	43.0	Homo sapiens	CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@H](C#N)Cc1ccc(C(F)(F)F)cc1
Cathepsin K	79.0	Homo sapiens	CC(C)C[C@H](C(=O)NCC#N)c1cccc(-c2ccc3[nH]ccc3c2)c1
Cathepsin K	23.99	Homo sapiens	CCCC[C@H](NC(=O)OCC1(CCc2ccccc2)CCC1)C(=O)C(=O)N[C@H](C)c1ccccc1
Cathepsin K	2.818	Homo sapiens	CCCC[C@H](NC(=O)O[C@H](Cc1nnc(-c2ccc(F)cc2)o1)C(C)(C)C)C(=O)C(=O)NCc1cccnc1
Cathepsin K	52.0	Homo sapiens	CCCC[C@H](NC(=O)OCC1(CC)CCC1)C(=O)C(=O)Nc1ccnn1CC
Cathepsin K	0.048	Homo sapiens	C[C@@H](CC1CCCCC1)OC(=O)C1CCN1C#N
Cathepsin K	100.0	Homo sapiens	CCCC[C@H](NC(=O)O[C@H]1CCc2ccccc21)C(=O)C(=O)N[C@H](C)c1ccccc1
Cathepsin K	30.0	Homo sapiens	CC(C)C[C@H](NC(C#N)c1ccc(Br)cc1)C(=O)NCC#N
Cathepsin K	130.0	Homo sapiens	CCc1ccc(OC2(C(=O)NCCNc3ccc(OC)cc3)CCCCC2)cc1
Cathepsin K	11.0	Homo sapiens	CCCC[C@H](NC(=O)OCC1(CSc2ncccn2)CCC1)C(=O)C(=O)N[C@H](C)c1ccccc1
Cathepsin K	5000.1	Homo sapiens	O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H]1CNC1=O)OCc1ccccc1
Cathepsin K	59000.0	Homo sapiens	CCCC[C@H](NC(=O)OC(C(C)C)C(C)C)C(=O)C(=O)N[C@H](C)c1nnco1
Cathepsin K	9.0	Homo sapiens	COc1ccc(NCCNC(=O)[C@H](CC(C)C)NC(=O)c2ncn(-c3cccc(Cl)c3Cl)n2)cc1
Cathepsin K	20.0	Homo sapiens	N#CN1CC(CNS(=O)(=O)c2ccccc2)C1
Cathepsin K	7.1	Homo sapiens	CN1CCN(c2ccc(CC#Cc3cnc(C#N)nc3NCC(C)(C)C)cc2)CC1
Cathepsin K	3.8	Homo sapiens	CN1CCN(CC#Cc2ccc(CN(CC(C)(C)C)c3ccnc(C#N)n3)cc2)CC1
Cathepsin K	3.2	Homo sapiens	CC(C)(C)CNc1nc(C#N)ncc1C#CCN1CCc2ccccc2C1
