Smiles	Standard Type	Standard Relation	Standard Value	Standard Units	Assay Description
CCN1CCN(CCCOc2ccc(-c3cc4c(ncn4C)c(C#N)n3)cc2C(F)(F)F)CC1	IC50	'='	6.5	nM	Inhibition of cathepsin S-mediated proteolytic cleavage of MHC2 associated invariant chain in mouse splenocytes assessed as accumulation of lip10 by Western blot analysis
C[S+]([O-])C[C@H](N[C@@H](c1ccc(F)cc1)C(F)(F)F)C(=O)NC1(C#N)CC1	IC50	'='	96.0	nM	Inhibition of mouse recombinant cathepsin S
CS(=O)(=O)C[C@H](N[C@@H](c1ccc(Br)cc1)C(F)(F)F)C(=O)NC1(C#N)CC1	IC50	'='	1.6	nM	Inhibition of mouse recombinant cathepsin S
N#CCNC(=O)C1(NC(=O)c2ccc(-c3csc(N4CCOCC4)n3)cc2)CCCCC1	IC50	'='	6700.0	nM	Inhibitory activity against mouse cathepsin S in mouse splenocytes
CN1CCN(c2nc(-c3ccc(C(=O)NC4(C(=O)NCC(F)(F)F)CCCCC4)cc3)cs2)CC1	IC50	'='	33000.0	nM	Inhibitory activity against mouse cathepsin S
CS(=O)(=O)N1CCc2c(c(-c3ccc(Cl)c(C#Cc4ccc(Cl)cc4)c3)nn2CCCN2CCOCC2)C1	IC50	'='	690.0	nM	Inhibition of mouse cathepsin S expressed in baculovirus by FRET assay
CS(=O)(=O)C[C@H](N[C@@H](c1ccc(F)cc1)C(F)(F)F)C(=O)NC1(C#N)CC1	IC50	'='	0.6	nM	Inhibition of mouse recombinant cathepsin S
CC(=O)N1CCN(c2ccc(OCc3cc4cnc(C#N)nc4n3CCC3CCCCC3)cc2)CC1	IC50	'='	10.0	nM	Inhibition of mouse cathepsin S by fluorescence assay
CN(C)C(=O)CN1CCC(CCOc2ccc(-c3nc(C#N)nc4c3ccn4CCO)cc2C(F)(F)F)CC1	IC50	'='	1.0	nM	Inhibition Assay: First, spleen cells collected from C57BL/6 mice were seeded in a 96-well plate so as to be a 1× 105 cells/well, then, 5-fold dilution of 10 mM DMSO solution of the test compound was serially performed with RPMI 1640 medium (including 10% fetal bovine serum (FCS), 5×10^−5 M 2-mercaptoethanol, 50 IU/mL penicillin and 50 μg/mL streptomycin) nine times such that the final concentration becomes 0.026 nM to 10 μM, and the resultant products were added thereto (the final DMSO concentration was 0.1%). At the same time, LPS (Sigma L4005) was added to the wells such that the final concentration becomes 2 μg/mL, and culture was performed at 37° C. for 48 hours in 5% CO2. After culturing, the cells were stained at 4° C. for 20 minutes with PE-labeled streptavidin (BD BIOSCIENCE 554061) and biotin-labeled YAe antibody (EBIOSCIENCE 13-5741-85) together with FITC-labeled anti-mouse B220 antibody (BD BIOSCIENCE 553088), and an expression level (fluorescence intensity of YAe-bioti
CCN1CCC(CCOc2ccc(-c3nc(C#N)nc4c3ccn4CCO)cc2C(F)(F)F)CC1	IC50	'='	0.91	nM	Inhibition Assay: First, spleen cells collected from C57BL/6 mice were seeded in a 96-well plate so as to be a 1× 105 cells/well, then, 5-fold dilution of 10 mM DMSO solution of the test compound was serially performed with RPMI 1640 medium (including 10% fetal bovine serum (FCS), 5×10^−5 M 2-mercaptoethanol, 50 IU/mL penicillin and 50 μg/mL streptomycin) nine times such that the final concentration becomes 0.026 nM to 10 μM, and the resultant products were added thereto (the final DMSO concentration was 0.1%). At the same time, LPS (Sigma L4005) was added to the wells such that the final concentration becomes 2 μg/mL, and culture was performed at 37° C. for 48 hours in 5% CO2. After culturing, the cells were stained at 4° C. for 20 minutes with PE-labeled streptavidin (BD BIOSCIENCE 554061) and biotin-labeled YAe antibody (EBIOSCIENCE 13-5741-85) together with FITC-labeled anti-mouse B220 antibody (BD BIOSCIENCE 553088), and an expression level (fluorescence intensity of YAe-bioti
CN1CCN(C(=O)Nc2ccc3c(c2)C(NC(=O)c2ccccc2)CCC3)CC1	IC50	'='	2780.0	nM	Inhibition of mouse cathepsin S using benzyloxycarbonyl-L-Leucyl-L-Arginine 4-Methyl-coumaryl-7-amide substrate by FRET assay
CNC(=O)O[C@H]1CCc2ccc(N3CCN(C4COC4)CC3)cc2[C@@H]1NC(=O)c1ccc(F)cc1	IC50	'='	3.91	nM	Inhibition of mouse cathepsin S using benzyloxycarbonyl-L-Leucyl-L-Arginine 4-Methyl-coumaryl-7-amide substrate by FRET assay
N#Cc1nc(-c2ccc(OCCC3CCNCC3)c(C(F)(F)F)c2)c2ccn(CC3CCOC3)c2n1	IC50	'='	3.0	nM	Inhibition Assay: First, spleen cells collected from C57BL/6 mice were seeded in a 96-well plate so as to be a 1× 105 cells/well, then, 5-fold dilution of 10 mM DMSO solution of the test compound was serially performed with RPMI 1640 medium (including 10% fetal bovine serum (FCS), 5×10^−5 M 2-mercaptoethanol, 50 IU/mL penicillin and 50 μg/mL streptomycin) nine times such that the final concentration becomes 0.026 nM to 10 μM, and the resultant products were added thereto (the final DMSO concentration was 0.1%). At the same time, LPS (Sigma L4005) was added to the wells such that the final concentration becomes 2 μg/mL, and culture was performed at 37° C. for 48 hours in 5% CO2. After culturing, the cells were stained at 4° C. for 20 minutes with PE-labeled streptavidin (BD BIOSCIENCE 554061) and biotin-labeled YAe antibody (EBIOSCIENCE 13-5741-85) together with FITC-labeled anti-mouse B220 antibody (BD BIOSCIENCE 553088), and an expression level (fluorescence intensity of YAe-bioti
CCN1CCC(CCOc2ncc(-c3nc(C#N)nc4c3ncn4C)cc2C(F)(F)F)CC1	IC50	'='	0.61	nM	Inhibition Assay: First, spleen cells collected from C57BL/6 mice were seeded in a 96-well plate so as to be a 1× 105 cells/well, then, 5-fold dilution of 10 mM DMSO solution of the test compound was serially performed with RPMI 1640 medium (including 10% fetal bovine serum (FCS), 5×10^−5 M 2-mercaptoethanol, 50 IU/mL penicillin and 50 μg/mL streptomycin) nine times such that the final concentration becomes 0.026 nM to 10 μM, and the resultant products were added thereto (the final DMSO concentration was 0.1%). At the same time, LPS (Sigma L4005) was added to the wells such that the final concentration becomes 2 μg/mL, and culture was performed at 37° C. for 48 hours in 5% CO2. After culturing, the cells were stained at 4° C. for 20 minutes with PE-labeled streptavidin (BD BIOSCIENCE 554061) and biotin-labeled YAe antibody (EBIOSCIENCE 13-5741-85) together with FITC-labeled anti-mouse B220 antibody (BD BIOSCIENCE 553088), and an expression level (fluorescence intensity of YAe-bioti
N#Cc1nc(-c2ccc(OCCC3CCNCC3)c(C(F)(F)F)c2)c2ccn(CC3CCCO3)c2n1	IC50	'='	2.0	nM	Inhibition Assay: First, spleen cells collected from C57BL/6 mice were seeded in a 96-well plate so as to be a 1× 105 cells/well, then, 5-fold dilution of 10 mM DMSO solution of the test compound was serially performed with RPMI 1640 medium (including 10% fetal bovine serum (FCS), 5×10^−5 M 2-mercaptoethanol, 50 IU/mL penicillin and 50 μg/mL streptomycin) nine times such that the final concentration becomes 0.026 nM to 10 μM, and the resultant products were added thereto (the final DMSO concentration was 0.1%). At the same time, LPS (Sigma L4005) was added to the wells such that the final concentration becomes 2 μg/mL, and culture was performed at 37° C. for 48 hours in 5% CO2. After culturing, the cells were stained at 4° C. for 20 minutes with PE-labeled streptavidin (BD BIOSCIENCE 554061) and biotin-labeled YAe antibody (EBIOSCIENCE 13-5741-85) together with FITC-labeled anti-mouse B220 antibody (BD BIOSCIENCE 553088), and an expression level (fluorescence intensity of YAe-bioti
CCN1CCC(CCOc2ccc(-c3nc(C#N)nc4c3ccn4CC3CCCO3)cc2C(F)(F)F)CC1	IC50	'='	2.3	nM	Inhibition Assay: First, spleen cells collected from C57BL/6 mice were seeded in a 96-well plate so as to be a 1× 105 cells/well, then, 5-fold dilution of 10 mM DMSO solution of the test compound was serially performed with RPMI 1640 medium (including 10% fetal bovine serum (FCS), 5×10^−5 M 2-mercaptoethanol, 50 IU/mL penicillin and 50 μg/mL streptomycin) nine times such that the final concentration becomes 0.026 nM to 10 μM, and the resultant products were added thereto (the final DMSO concentration was 0.1%). At the same time, LPS (Sigma L4005) was added to the wells such that the final concentration becomes 2 μg/mL, and culture was performed at 37° C. for 48 hours in 5% CO2. After culturing, the cells were stained at 4° C. for 20 minutes with PE-labeled streptavidin (BD BIOSCIENCE 554061) and biotin-labeled YAe antibody (EBIOSCIENCE 13-5741-85) together with FITC-labeled anti-mouse B220 antibody (BD BIOSCIENCE 553088), and an expression level (fluorescence intensity of YAe-bioti
CCN1CCC(CCOc2ncc(-c3nc(C#N)nc4c3ccn4C)cc2C(F)(F)F)CC1	IC50	'='	1.3	nM	Inhibition Assay: First, spleen cells collected from C57BL/6 mice were seeded in a 96-well plate so as to be a 1× 105 cells/well, then, 5-fold dilution of 10 mM DMSO solution of the test compound was serially performed with RPMI 1640 medium (including 10% fetal bovine serum (FCS), 5×10^−5 M 2-mercaptoethanol, 50 IU/mL penicillin and 50 μg/mL streptomycin) nine times such that the final concentration becomes 0.026 nM to 10 μM, and the resultant products were added thereto (the final DMSO concentration was 0.1%). At the same time, LPS (Sigma L4005) was added to the wells such that the final concentration becomes 2 μg/mL, and culture was performed at 37° C. for 48 hours in 5% CO2. After culturing, the cells were stained at 4° C. for 20 minutes with PE-labeled streptavidin (BD BIOSCIENCE 554061) and biotin-labeled YAe antibody (EBIOSCIENCE 13-5741-85) together with FITC-labeled anti-mouse B220 antibody (BD BIOSCIENCE 553088), and an expression level (fluorescence intensity of YAe-bioti
CN1CCN(c2ccc3c(c2)C(NC(=O)c2ccccc2)CCC3)CC1	IC50	'='	3930.0	nM	Inhibition of mouse cathepsin S using benzyloxycarbonyl-L-Leucyl-L-Arginine 4-Methyl-coumaryl-7-amide substrate by FRET assay
CC(=O)N1C[C@H](S(=O)(=O)c2ccccc2Cl)C[C@H]1C(=O)NC1(C#N)CC1	IC50	'='	2.0	nM	Inhibition of mouse cathepsin-S using Z-Val-Val-Arg-AMC as substrate up to 20 mins by fluorescence assay
