Smiles	Standard Type	Standard Relation	Standard Value	Standard Units	Assay Description
CC(C)C[C@H](NC(=O)C(C)(C)Oc1ccc(Cl)cc1)C(=O)N[C@H](C#N)COCc1ccccc1	IC50	'='	52.0	nM	Inhibition of recombinant human cathepsin S
CCC[C@H](NC(=O)C(CC(C)C)NC(=O)c1ccc(-c2ccc(I)cc2)cc1)C(=O)C=[N+]=[N-]	IC50	'='	9.0	nM	Inhibition of human recombinant cathepsin S after 10 mins
Cc1ccc(C[C@@H](C#N)NC(=O)[C@H](CC(C)C)NC(=O)OCc2ccccc2)cc1	IC50	'>'	10000.0	nM	Inhibition of recombinant human cathepsin S
CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@H](C#N)COCc1ccccc1	IC50	'='	969.0	nM	Inhibition of recombinant human cathepsin S
CC(C)C[C@H](NC(=O)CN1CCN(c2ccncc2)CC1)C(=O)N[C@H](C#N)COCc1ccccc1	IC50	'='	180.0	nM	Inhibition of recombinant human cathepsin S
CCCC[C@H](NC(=O)OCC1(CCCc2ccccc2)CCC1)C(=O)C(=O)N[C@H](C)c1ccccc1	IC50	'='	17.0	nM	Inhibition of 10 uM Cbz-Val-Val-Arg-AMC binding to human cathepsin S in fluorescence assay
CC(C)C[C@H](NC(c1ccc(Br)cc1)C(F)(F)F)C(=O)NCC#N	IC50	'='	121.0	nM	Inhibitory activity against cathepsin S from human
N#CCNC(=O)C1(NC(=O)c2ccc(-c3ccc(N4CCNCC4)cc3)cc2)CCCCC1	IC50	'>'	10000.0	nM	Inhibitory activity against cathepsin S from human
O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H]1C(=O)N[C@H]1S(=O)(=O)c1ccccc1)OCc1ccccc1	IC50	'='	48.0	nM	Inhibition of recombinant human cathepsin S
N#CCNC(=O)[C@H](Cc1ccccc1)NC(=O)C(c1ccccc1)c1ccccc1	IC50	'='	48.0	nM	Inhibitory activity against recombinant human cathepsin S (cat S) expressed in baculovirus
CN1CCN(c2ccc(-c3cccc(C(CC4CCC4)C(=O)NCC#N)c3)cc2)CC1	IC50	'='	2310.0	nM	In vitro inhibitory activity against human cathepsin S, using 2 uM of Z -Leu-Arg-AMC as substrate
CC(C)(C)CNc1nc(C#N)ncc1C#CCN1Cc2ccccc2C1	IC50	'='	920.0	nM	Inhibition of human recombinant cathepsin S by fluorescence assay
CC(C)(C)CN(Cc1ccc(C#CCN2CCCCC2)cc1)c1ccnc(C#N)n1	IC50	'>'	1000.0	nM	Inhibition of human recombinant cathepsin S by fluorescence assay
CC(C)(C)CN(Cc1ccccc1)c1ccnc(C#N)n1	IC50	'>'	1000.0	nM	Inhibition of human recombinant cathepsin S by fluorescence assay
CC(=O)N1CCc2c(c(-c3ccc(C(F)(F)F)c(SCC(=O)N4CCCC4)c3)nn2CC(O)CN2CCC(C)CC2)C1	IC50	'='	180.0	nM	Inhibition of human recombinant cathepsin S expressed in baculovirus expression sytem after 15 mins by FRET assay
CS(=O)(=O)N1CCc2c(c(-c3ccc(C(F)(F)F)c(SCCNC(=O)Cc4ccccc4)c3)nn2CC(O)CN2CCC(N3CCCC3=O)CC2)C1	IC50	'>'	10000.0	nM	Inhibition of cathepsin S in human JY cells assessed as accumulation of invariant chain p10li after 24 hrs by Western blot analysis
CN(C)C(=O)CSc1cc(-c2nn(CCCN3CCC(N4CCCC4=O)CC3)c3c2CN(S(C)(=O)=O)CC3)ccc1C(F)(F)F	IC50				Inhibition of cathepsin S in human JY cells assessed as accumulation of invariant chain p10li after 24 hrs by Western blot analysis
CS(=O)(=O)N1CCc2c(c(-c3ccc(C(F)(F)F)c(SCC(=O)N4CCCC4)c3)nn2CCCN2CCC(N3CCCC3=O)CC2)C1	IC50	'='	1970.0	nM	Inhibition of cathepsin S in human JY cells assessed as accumulation of invariant chain p10li after 24 hrs by Western blot analysis
