Target Name	IC50 (nM)	Value	Target Source Organism According to Curator or DataSource	Ligand SMILES
Cathepsin S	52.0	'='	Homo sapiens	CC(C)C[C@H](NC(=O)C(C)(C)Oc1ccc(Cl)cc1)C(=O)N[C@H](C#N)COCc1ccccc1
Cathepsin S	9.0	'='	Homo sapiens	CCC[C@H](NC(=O)C(CC(C)C)NC(=O)c1ccc(-c2ccc(I)cc2)cc1)C(=O)C=[N+]=[N-]
Cathepsin S	10000.1	'>'	Homo sapiens	Cc1ccc(C[C@@H](C#N)NC(=O)[C@H](CC(C)C)NC(=O)OCc2ccccc2)cc1
Cathepsin S	969.0	'='	Homo sapiens	CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@H](C#N)COCc1ccccc1
Cathepsin S	180.0	'='	Homo sapiens	CC(C)C[C@H](NC(=O)CN1CCN(c2ccncc2)CC1)C(=O)N[C@H](C#N)COCc1ccccc1
Cathepsin S	17.0	'='	Homo sapiens	CCCC[C@H](NC(=O)OCC1(CCCc2ccccc2)CCC1)C(=O)C(=O)N[C@H](C)c1ccccc1
Cathepsin S	121.0	'='	Homo sapiens	CC(C)C[C@H](NC(c1ccc(Br)cc1)C(F)(F)F)C(=O)NCC#N
Cathepsin S	10000.1	'>'	Homo sapiens	N#CCNC(=O)C1(NC(=O)c2ccc(-c3ccc(N4CCNCC4)cc3)cc2)CCCCC1
Cathepsin S	48.0	'='	Homo sapiens	O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H]1C(=O)N[C@H]1S(=O)(=O)c1ccccc1)OCc1ccccc1
Cathepsin S	48.0	'='	Homo sapiens	N#CCNC(=O)[C@H](Cc1ccccc1)NC(=O)C(c1ccccc1)c1ccccc1
Cathepsin S	2310.0	'='	Homo sapiens	CN1CCN(c2ccc(-c3cccc(C(CC4CCC4)C(=O)NCC#N)c3)cc2)CC1
Cathepsin S	920.0	'='	Homo sapiens	CC(C)(C)CNc1nc(C#N)ncc1C#CCN1Cc2ccccc2C1
Cathepsin S	1000.1	'>'	Homo sapiens	CC(C)(C)CN(Cc1ccc(C#CCN2CCCCC2)cc1)c1ccnc(C#N)n1
Cathepsin S	1000.1	'>'	Homo sapiens	CC(C)(C)CN(Cc1ccccc1)c1ccnc(C#N)n1
Cathepsin S	180.0	'='	Homo sapiens	CC(=O)N1CCc2c(c(-c3ccc(C(F)(F)F)c(SCC(=O)N4CCCC4)c3)nn2CC(O)CN2CCC(C)CC2)C1
Cathepsin S	10000.1	'>'	Homo sapiens	CS(=O)(=O)N1CCc2c(c(-c3ccc(C(F)(F)F)c(SCCNC(=O)Cc4ccccc4)c3)nn2CC(O)CN2CCC(N3CCCC3=O)CC2)C1
Cathepsin S	1970.0	'='	Homo sapiens	CS(=O)(=O)N1CCc2c(c(-c3ccc(C(F)(F)F)c(SCC(=O)N4CCCC4)c3)nn2CCCN2CCC(N3CCCC3=O)CC2)C1
Cathepsin S	6700.0	'='	Homo sapiens	Cn1c(=O)n(C2CCN(CCCn3cncc(-c4ccc(Cl)c(CNC(=O)c5ccc(F)cc5)c4)c3=O)CC2)c2cc(Cl)ccc21
Cathepsin S	10.0	'='	Homo sapiens	Cn1cnc2c(C#N)nc(-c3ccc(OCc4ccncc4)c(C(F)(F)F)c3)cc21
Cathepsin S	24.0	'='	Homo sapiens	Cn1cnc2c(C#N)nc(-c3ccc(CCCO)c(C(F)(F)F)c3)cc21
Cathepsin S	3236.0	'='	Homo sapiens	CC(=O)Nc1ccc(-c2cc3[nH]cnc3c(C#N)n2)cc1C(F)(F)F
Cathepsin S	10000.0	'='	Homo sapiens	CCOc1ccc(-c2cc3c(ncn3CCN3CCOCC3)c(C#N)n2)cc1C(F)(F)F
Cathepsin S	63.0	'='	Homo sapiens	CCN1CCN(CCCOc2ccc(-c3cc4c(ncn4C)c(C#N)n3)cc2C(F)(F)F)CC1
Cathepsin S	10.0	'='	Homo sapiens	CS(=O)(=O)C[C@H](N[C@@H](c1ccc(-c2ccc(F)cc2)cc1)C(F)(F)F)C(=O)NC1(C#N)CC1
Cathepsin S	2884.0	'='	Homo sapiens	N#Cc1cccc(-c2cccc(C(F)(F)F)c2)n1
Cathepsin S	155.0	'='	Homo sapiens	N#Cc1cccc(-c2ccc(OCCCO)c(C(F)(F)F)c2)n1
Cathepsin S	240.0	'='	Homo sapiens	Cc1nccn1CC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)COCc1ccccc1
Cathepsin S	5.8	'='	Homo sapiens	CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC1CCCCC1)NC(=O)c1ccc(C(=O)OC)c(N)c1
