"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"	"Value"
"CHEMBL32486"	""	"None"	"326.42"	"0"	"3.81"	"8"	"C[C@@H](NC(=O)N1C(=O)CC1Sc1ccccc1)c1ccccc1"	"IC50"	"'>'"	"75000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL659817"	"Inhibitory activity against Cathepsin B"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4072"	"Cathepsin B"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1130829"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"1998"	"None"	""	""	""	"75.0"
"CHEMBL35797"	""	"None"	"355.46"	"0"	"3.73"	"16"	"CC[C@@H](NC(=O)N1C(=O)CC1SCc1ccccn1)c1ccccc1"	"IC50"	"'>'"	"75000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL659817"	"Inhibitory activity against Cathepsin B"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4072"	"Cathepsin B"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1130829"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"1998"	"None"	""	""	""	"75.0"
"CHEMBL335007"	""	"None"	"314.43"	"0"	"3.61"	"30"	"CCCC(CCC)C(=O)N[C@H](C=O)Cc1c[nH]c2ccccc12"	"IC50"	"'>'"	"1000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL657293"	"Inhibition of human cathepsin B"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4072"	"Cathepsin B"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1131158"	"1"	"Scientific Literature"	"J Med Chem"	"1998"	"None"	""	""	""	"1000.0"
"CHEMBL390474"	""	"None"	"247.29"	"0"	"2.28"	"12"	"Cc1cccc(O[C@H]2CCN3C[C@H]2OC3=O)c1C"	"IC50"	"'='"	"1.0"	"nM"	"9.00"	""	""	"UO_0000065"	"36.39"	"0.68"	"6.72"	"23.21"	"0"	"CHEMBL907570"	"Inhibition of human recombinant cathepsin B"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4072"	"Cathepsin B"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1144593"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2007"	"None"	""	""	""	"0.001"
"CHEMBL1269811"	""	"None"	"253.33"	"0"	"2.25"	"24"	"NC(=S)NN=C1c2ccccc2-c2ccccc21"	"IC50"	"'>'"	"10000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL1273064"	"Inhibition of human liver cathepsin B after 5 mins by microplate reader analysis"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4072"	"Cathepsin B"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1268983"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2010"	"None"	""	""	""	"10000.0"
"CHEMBL84319"	""	"None"	"723.87"	"1"	"4.62"	"8"	"C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3ccccc3)nc3ccccc23)CN1C(=O)[C@@H](NC(=O)[C@@H](NC(C)=O)C1CCCCC1)C(C)C)C(=O)O"	"IC50"	"'>'"	"30000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL919584"	"Inhibition of human cathepsin B"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4072"	"Cathepsin B"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1149282"	"1"	"Scientific Literature"	"J Med Chem"	"2004"	"None"	""	""	""	"30.0"
"CHEMBL437501"	""	"None"	"481.54"	"0"	"4.00"	"22"	"CC(C)C[C@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NCC#N"	"IC50"	"'='"	"4807.0"	"nM"	"5.32"	""	""	"UO_0000065"	"11.04"	"0.22"	"1.32"	"5.37"	"0"	"CHEMBL862608"	"Potency against Cathepsin B in HepG2 cells by whole cell enzyme occupancy assay"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"HepG2"	"None"	""	""	""	"CHEMBL4072"	"Cathepsin B"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1146103"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2006"	"CHEMBL3307718"	""	""	""	"4807.0"
"CHEMBL390475"	""	"None"	"233.27"	"0"	"1.80"	"15"	"O=C1O[C@@H]2CN1CC[C@@H]2OCc1ccccc1"	"IC50"	"'='"	"2.0"	"nM"	"8.70"	""	""	"UO_0000065"	"37.29"	"0.70"	"6.90"	"22.44"	"0"	"CHEMBL907570"	"Inhibition of human recombinant cathepsin B"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4072"	"Cathepsin B"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1144593"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2007"	"None"	""	""	""	"0.002"
"CHEMBL389130"	""	"None"	"349.39"	"0"	"1.98"	"1"	"Nc1cc(OC(=O)c2cccs2)nn1S(=O)(=O)c1ccccc1"	"IC50"	"'>'"	"50000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL888630"	"Inhibition of human liver cathepsin B pre-incubated for 24 hrs in assay buffer with DTT"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4072"	"Cathepsin B"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1146247"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2007"	"None"	""	""	""	"50.0"
"CHEMBL140756"	""	"None"	"411.51"	"0"	"3.49"	"3"	"Cc1cccc(C[C@H](NC(=O)C(c2ccccc2)c2ccccc2)C(=O)NCC#N)c1"	"IC50"	"'='"	"45.0"	"nM"	"7.35"	""	""	"UO_0000065"	"17.85"	"0.32"	"3.86"	"8.96"	"0"	"CHEMBL657288"	"Inhibitory activity against recombinant human cathepsin B (cat B) expressed in baculovirus."	"B"	"BAO_0000019"	"assay format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4072"	"Cathepsin B"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1134316"	"1"	"Scientific Literature"	"J Med Chem"	"2001"	"None"	""	""	""	"45.0"
