"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"	"Value"
"CHEMBL195454"	""	"None"	"487.57"	"0"	"4.01"	"1"	"CC(C)C[C@H](N[C@@H](c1ccc(-c2ccc(N3CCNCC3)cc2)cc1)C(F)(F)F)C(=O)NCC#N"	"IC50"	"'='"	"12.0"	"nM"	"7.92"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL862614"	"Potency against Cathepsin K in rabbit osteoclasts by bone resorption assay"	"F"	"BAO_0000019"	"assay format"	"Oryctolagus cuniculus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3349"	"Cathepsin K"	"Oryctolagus cuniculus"	"SINGLE PROTEIN"	"CHEMBL1146103"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2006"	"None"	""	""	""	"12.0"
"CHEMBL184769"	""	"None"	"323.23"	"0"	"3.29"	"10"	"CC(C)CC(Cc1cccc(Br)c1)C(=O)NCC#N"	"IC50"	"'='"	"3394.0"	"nM"	"5.47"	""	""	"UO_0000065"	"16.92"	"0.39"	"2.18"	"10.34"	"0"	"CHEMBL832757"	"Inhibitory concentration against humanized rabbit cathepsin K"	"B"	"BAO_0000357"	"single protein format"	"Oryctolagus cuniculus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3349"	"Cathepsin K"	"Oryctolagus cuniculus"	"SINGLE PROTEIN"	"CHEMBL1137165"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2004"	"None"	""	""	""	"3394.0"
"CHEMBL184859"	""	"None"	"405.55"	"0"	"3.23"	"19"	"CC(C)C[C@H](Nc1ccc(-c2ccc(N3CCNCC3)cc2)cc1)C(=O)NCC#N"	"IC50"	"'='"	"27.0"	"nM"	"7.57"	""	""	"UO_0000065"	"18.66"	"0.34"	"4.34"	"9.44"	"0"	"CHEMBL832757"	"Inhibitory concentration against humanized rabbit cathepsin K"	"B"	"BAO_0000357"	"single protein format"	"Oryctolagus cuniculus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3349"	"Cathepsin K"	"Oryctolagus cuniculus"	"SINGLE PROTEIN"	"CHEMBL1137165"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2004"	"None"	""	""	""	"27.0"
"CHEMBL200301"	""	"None"	"370.45"	"0"	"1.60"	"13"	"N#CCNC(=O)C1(NC(=O)c2ccc(N3CCOCC3)cc2)CCCCC1"	"IC50"	"'='"	"72.0"	"nM"	"7.14"	""	""	"UO_0000065"	"19.28"	"0.36"	"5.54"	"7.56"	"0"	"CHEMBL868692"	"Inhibitory activity against rabbit cathepsin K"	"B"	"BAO_0000357"	"single protein format"	"Oryctolagus cuniculus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3349"	"Cathepsin K"	"Oryctolagus cuniculus"	"SINGLE PROTEIN"	"CHEMBL1141213"	"1"	"Scientific Literature"	"J Med Chem"	"2005"	"None"	""	""	""	"72.0"
"CHEMBL185593"	""	"None"	"323.23"	"0"	"3.29"	"11"	"CC(C)CC(Cc1ccc(Br)cc1)C(=O)NCC#N"	"IC50"	"'='"	"2394.0"	"nM"	"5.62"	""	""	"UO_0000065"	"17.39"	"0.40"	"2.33"	"10.63"	"0"	"CHEMBL832757"	"Inhibitory concentration against humanized rabbit cathepsin K"	"B"	"BAO_0000357"	"single protein format"	"Oryctolagus cuniculus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3349"	"Cathepsin K"	"Oryctolagus cuniculus"	"SINGLE PROTEIN"	"CHEMBL1137165"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2004"	"None"	""	""	""	"2394.0"
"CHEMBL185305"	""	"None"	"341.27"	"0"	"3.60"	"15"	"CC(C)CC(Sc1ccccc1Br)C(=O)NCC#N"	"IC50"	"'='"	"433.0"	"nM"	"6.36"	""	""	"UO_0000065"	"18.65"	"0.46"	"2.76"	"12.03"	"0"	"CHEMBL832757"	"Inhibitory concentration against humanized rabbit cathepsin K"	"B"	"BAO_0000357"	"single protein format"	"Oryctolagus cuniculus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3349"	"Cathepsin K"	"Oryctolagus cuniculus"	"SINGLE PROTEIN"	"CHEMBL1137165"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2004"	"None"	""	""	""	"433.0"
"CHEMBL183306"	""	"None"	"405.55"	"0"	"3.23"	"4"	"CC(C)C[C@H](Nc1ccccc1-c1ccc(N2CCNCC2)cc1)C(=O)NCC#N"	"IC50"	"'='"	"3.0"	"nM"	"8.52"	""	""	"UO_0000065"	"21.02"	"0.39"	"5.29"	"10.63"	"0"	"CHEMBL832757"	"Inhibitory concentration against humanized rabbit cathepsin K"	"B"	"BAO_0000357"	"single protein format"	"Oryctolagus cuniculus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3349"	"Cathepsin K"	"Oryctolagus cuniculus"	"SINGLE PROTEIN"	"CHEMBL1137165"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2004"	"None"	""	""	""	"3.0"
"CHEMBL361951"	""	"None"	"325.21"	"0"	"2.88"	"14"	"CC(C)CC(Oc1ccc(Br)cc1)C(=O)NCC#N"	"IC50"	"'='"	"2999.0"	"nM"	"5.52"	""	""	"UO_0000065"	"16.98"	"0.40"	"2.64"	"8.89"	"0"	"CHEMBL832757"	"Inhibitory concentration against humanized rabbit cathepsin K"	"B"	"BAO_0000357"	"single protein format"	"Oryctolagus cuniculus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3349"	"Cathepsin K"	"Oryctolagus cuniculus"	"SINGLE PROTEIN"	"CHEMBL1137165"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2004"	"None"	""	""	""	"2999.0"
"CHEMBL366317"	""	"None"	"341.27"	"0"	"3.60"	"16"	"CC(C)CC(Sc1cccc(Br)c1)C(=O)NCC#N"	"IC50"	"'='"	"684.0"	"nM"	"6.17"	""	""	"UO_0000065"	"18.06"	"0.44"	"2.56"	"11.66"	"0"	"CHEMBL832757"	"Inhibitory concentration against humanized rabbit cathepsin K"	"B"	"BAO_0000357"	"single protein format"	"Oryctolagus cuniculus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3349"	"Cathepsin K"	"Oryctolagus cuniculus"	"SINGLE PROTEIN"	"CHEMBL1137165"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2004"	"None"	""	""	""	"684.0"
"CHEMBL247587"	""	"None"	"401.48"	"0"	"4.63"	"3, racemic"	"CSc1ccc(-c2cnccc2C2CCC(F)(F)CC2C(=O)NCC#N)cc1"	"IC50"	"'='"	"1.0"	"nM"	"9.00"	""	""	"UO_0000065"	"22.42"	"0.44"	"4.37"	"13.68"	"0"	"CHEMBL886077"	"Inhibition of rabbit cathepsin K"	"B"	"BAO_0000357"	"single protein format"	"Oryctolagus cuniculus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3349"	"Cathepsin K"	"Oryctolagus cuniculus"	"SINGLE PROTEIN"	"CHEMBL1139919"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2007"	"None"	""	""	""	"1.0"
