"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"	"Value"
"CHEMBL1209145"	""	"None"	"472.52"	"0"	"3.93"	"47"	"CCN1CCN(CCCOc2ccc(-c3cc4c(ncn4C)c(C#N)n3)cc2C(F)(F)F)CC1"	"IC50"	"'='"	"6.5"	"nM"	"8.19"	""	""	"UO_0000065"	"17.33"	"0.33"	"4.26"	"11.66"	"0"	"CHEMBL1211798"	"Inhibition of cathepsin S-mediated proteolytic cleavage of MHC2 associated invariant chain in mouse splenocytes assessed as accumulation of lip10 by Western blot analysis"	"B"	"BAO_0000219"	"cell-based format"	"Mus musculus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4098"	"Cathepsin S"	"Mus musculus"	"SINGLE PROTEIN"	"CHEMBL1208745"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2010"	"None"	""	""	""	"6.5"
"CHEMBL250119"	""	"None"	"391.39"	"0"	"1.94"	"7"	"C[S+]([O-])C[C@H](N[C@@H](c1ccc(F)cc1)C(F)(F)F)C(=O)NC1(C#N)CC1"	"IC50"	"'='"	"96.0"	"nM"	"7.02"	""	""	"UO_0000065"	"17.93"	"0.37"	"5.08"	"7.98"	"0"	"CHEMBL923079"	"Inhibition of mouse recombinant cathepsin S"	"B"	"BAO_0000357"	"single protein format"	"Mus musculus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4098"	"Cathepsin S"	"Mus musculus"	"SINGLE PROTEIN"	"CHEMBL1140679"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2007"	"None"	""	""	""	"96.0"
"CHEMBL400387"	""	"None"	"468.30"	"0"	"2.23"	"2"	"CS(=O)(=O)C[C@H](N[C@@H](c1ccc(Br)cc1)C(F)(F)F)C(=O)NC1(C#N)CC1"	"IC50"	"'='"	"1.6"	"nM"	"8.80"	""	""	"UO_0000065"	"18.78"	"0.44"	"6.57"	"8.88"	"0"	"CHEMBL923079"	"Inhibition of mouse recombinant cathepsin S"	"B"	"BAO_0000357"	"single protein format"	"Mus musculus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4098"	"Cathepsin S"	"Mus musculus"	"SINGLE PROTEIN"	"CHEMBL1140679"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2007"	"None"	""	""	""	"1.6"
"CHEMBL199358"	""	"None"	"453.57"	"0"	"2.72"	"12"	"N#CCNC(=O)C1(NC(=O)c2ccc(-c3csc(N4CCOCC4)n3)cc2)CCCCC1"	"IC50"	"'='"	"6700.0"	"nM"	"5.17"	""	""	"UO_0000065"	"11.41"	"0.22"	"2.45"	"4.82"	"0"	"CHEMBL868695"	"Inhibitory activity against mouse cathepsin S in mouse splenocytes"	"B"	"BAO_0000219"	"cell-based format"	"Mus musculus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4098"	"Cathepsin S"	"Mus musculus"	"SINGLE PROTEIN"	"CHEMBL1141213"	"1"	"Scientific Literature"	"J Med Chem"	"2005"	"None"	""	""	""	"6700.0"
"CHEMBL198848"	""	"None"	"509.60"	"1"	"3.67"	"2"	"CN1CCN(c2nc(-c3ccc(C(=O)NC4(C(=O)NCC(F)(F)F)CCCCC4)cc3)cs2)CC1"	"IC50"	"'='"	"33000.0"	"nM"	"4.48"	""	""	"UO_0000065"	"8.79"	"0.17"	"0.81"	"5.78"	"0"	"CHEMBL868694"	"Inhibitory activity against mouse cathepsin S"	"B"	"BAO_0000357"	"single protein format"	"Mus musculus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4098"	"Cathepsin S"	"Mus musculus"	"SINGLE PROTEIN"	"CHEMBL1141213"	"1"	"Scientific Literature"	"J Med Chem"	"2005"	"None"	""	""	""	"33000.0"
"CHEMBL578633"	""	"None"	"573.55"	"1"	"4.30"	"18"	"CS(=O)(=O)N1CCc2c(c(-c3ccc(Cl)c(C#Cc4ccc(Cl)cc4)c3)nn2CCCN2CCOCC2)C1"	"IC50"	"'='"	"690.0"	"nM"	"6.16"	""	""	"UO_0000065"	"10.74"	"0.22"	"1.86"	"9.10"	"0"	"CHEMBL1042338"	"Inhibition of mouse cathepsin S expressed in baculovirus by FRET assay"	"B"	"BAO_0000019"	"assay format"	"Mus musculus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4098"	"Cathepsin S"	"Mus musculus"	"SINGLE PROTEIN"	"CHEMBL1154163"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2009"	"None"	""	""	""	"690.0"
"CHEMBL249915"	""	"None"	"407.39"	"0"	"1.60"	"6"	"CS(=O)(=O)C[C@H](N[C@@H](c1ccc(F)cc1)C(F)(F)F)C(=O)NC1(C#N)CC1"	"IC50"	"'='"	"0.6"	"nM"	"9.22"	""	""	"UO_0000065"	"22.64"	"0.47"	"7.62"	"9.31"	"0"	"CHEMBL923079"	"Inhibition of mouse recombinant cathepsin S"	"B"	"BAO_0000357"	"single protein format"	"Mus musculus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4098"	"Cathepsin S"	"Mus musculus"	"SINGLE PROTEIN"	"CHEMBL1140679"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2007"	"None"	""	""	""	"0.6"
"CHEMBL481170"	""	"None"	"486.62"	"0"	"4.52"	"2"	"CC(=O)N1CCN(c2ccc(OCc3cc4cnc(C#N)nc4n3CCC3CCCCC3)cc2)CC1"	"IC50"	"'='"	"10.0"	"nM"	"8.00"	""	""	"UO_0000065"	"16.44"	"0.30"	"3.48"	"9.17"	"0"	"CHEMBL967056"	"Inhibition of mouse cathepsin S by fluorescence assay"	"B"	"BAO_0000357"	"single protein format"	"Mus musculus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4098"	"Cathepsin S"	"Mus musculus"	"SINGLE PROTEIN"	"CHEMBL1140079"	"1"	"Scientific Literature"	"J Med Chem"	"2008"	"None"	""	""	""	"10.0"
"CHEMBL3961161"	""	"None"	"544.58"	"1"	"3.55"	"BDBM225121"	"CN(C)C(=O)CN1CCC(CCOc2ccc(-c3nc(C#N)nc4c3ccn4CCO)cc2C(F)(F)F)CC1"	"IC50"	"'='"	"1.0"	"nM"	"9.00"	""	"393673"	"UO_0000065"	"16.53"	"0.32"	"5.45"	"8.37"	"0"	"CHEMBL3888381"	"Inhibition Assay: First, spleen cells collected from C57BL/6 mice were seeded in a 96-well plate so as to be a 1× 105 cells/well, then, 5-fold dilution of 10 mM DMSO solution of the test compound was serially performed with RPMI 1640 medium (including 10% fetal bovine serum (FCS), 5×10^−5 M 2-mercaptoethanol, 50 IU/mL penicillin and 50 μg/mL streptomycin) nine times such that the final concentration becomes 0.026 nM to 10 μM, and the resultant products were added thereto (the final DMSO concentration was 0.1%). At the same time, LPS (Sigma L4005) was added to the wells such that the final concentration becomes 2 μg/mL, and culture was performed at 37° C. for 48 hours in 5% CO2. After culturing, the cells were stained at 4° C. for 20 minutes with PE-labeled streptavidin (BD BIOSCIENCE 554061) and biotin-labeled YAe antibody (EBIOSCIENCE 13-5741-85) together with FITC-labeled anti-mouse B220 antibody (BD BIOSCIENCE 553088), and an expression level (fluorescence intensity of YAe-bioti"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"spleen"	"None"	""	""	""	"CHEMBL4098"	"Cathepsin S"	"Mus musculus"	"SINGLE PROTEIN"	"CHEMBL3886685"	"37"	"BindingDB Patent Bioactivity Data"	""	"2016"	"None"	""	""	""	"1.0"
"CHEMBL3967282"	""	"None"	"487.53"	"0"	"4.48"	"BDBM225190"	"CCN1CCC(CCOc2ccc(-c3nc(C#N)nc4c3ccn4CCO)cc2C(F)(F)F)CC1"	"IC50"	"'='"	"0.91"	"nM"	"9.04"	""	"393697"	"UO_0000065"	"18.54"	"0.35"	"4.56"	"10.37"	"0"	"CHEMBL3888381"	"Inhibition Assay: First, spleen cells collected from C57BL/6 mice were seeded in a 96-well plate so as to be a 1× 105 cells/well, then, 5-fold dilution of 10 mM DMSO solution of the test compound was serially performed with RPMI 1640 medium (including 10% fetal bovine serum (FCS), 5×10^−5 M 2-mercaptoethanol, 50 IU/mL penicillin and 50 μg/mL streptomycin) nine times such that the final concentration becomes 0.026 nM to 10 μM, and the resultant products were added thereto (the final DMSO concentration was 0.1%). At the same time, LPS (Sigma L4005) was added to the wells such that the final concentration becomes 2 μg/mL, and culture was performed at 37° C. for 48 hours in 5% CO2. After culturing, the cells were stained at 4° C. for 20 minutes with PE-labeled streptavidin (BD BIOSCIENCE 554061) and biotin-labeled YAe antibody (EBIOSCIENCE 13-5741-85) together with FITC-labeled anti-mouse B220 antibody (BD BIOSCIENCE 553088), and an expression level (fluorescence intensity of YAe-bioti"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"spleen"	"None"	""	""	""	"CHEMBL4098"	"Cathepsin S"	"Mus musculus"	"SINGLE PROTEIN"	"CHEMBL3886685"	"37"	"BindingDB Patent Bioactivity Data"	""	"2016"	"None"	""	""	""	"0.91"
