Target Name	IC50 (nM)	Target Source Organism According to Curator or DataSource	Ligand SMILES	Potency
Cathepsin K	-0.097	Homo sapiens	COc1cccc(CCNC(=O)c2cnc(nc2NCC(C)(C)C)C#N)c1	3
Cathepsin K	-0.097	Homo sapiens	COc1ccc(CCNC(=O)c2cnc(nc2NCC(C)(C)C)C#N)cc1	3
Cathepsin K	0.003	Homo sapiens	CC(C)(C)CNc1nc(ncc1C(=O)NCCc1cccc(OCCn2ccnc2)c1)C#N	3
Cathepsin K	0.003	Homo sapiens	CC(C)(C)CNc1nc(ncc1C(=O)NCCc1ccc(OCCn2ccnc2)cc1)C#N	3
Cathepsin K	0.009	Homo sapiens	COc1cccc(CCNC(=O)c2cnc(nc2NC2CCCCC2)C#N)c1	3
Cathepsin K	0.01	Homo sapiens	O=C(NCCc1ccccc1)c1cnc(nc1NC1CCCCC1)C#N	3
Cathepsin K	0.011	Homo sapiens	CN1CCN(Cc2ccc(CCNC(=O)c3cnc(nc3NCC(C)(C)C)C#N)cc2)CC1	3
Cathepsin K	0.011	Homo sapiens	CN1CCN(CC1)c1cccc(CCNC(=O)c2cnc(nc2NCC(C)(C)C)C#N)c1	3
Cathepsin K	0.013	Homo sapiens	CN1CCC(CC1)Oc1ccc(CCNC(=O)c2cnc(nc2NCC(C)(C)C)C#N)cc1	3
Cathepsin K	0.015	Homo sapiens	CC(C)C[C@H](NC(=O)c1ccc(cc1)-c1ccc(cc1)N1CCNCC1)C(=O)NCC#N	3
Cathepsin K	0.022	Homo sapiens	COc1ccc(CCNC(=O)c2cnc(nc2NC2CCCCC2)C#N)cc1	3
Cathepsin K	0.025	Homo sapiens	CN1CCN(CC1)c1ccc(CCNC(=O)c2cnc(nc2NCC(C)(C)C)C#N)cc1	3
Cathepsin K	0.0251	Homo sapiens	CCCC[C@H](NC(=O)O[C@H](Cn1cnc(c1)-c1ccc(cc1)C(F)(F)F)C(C)(C)C)C(=O)C(=O)Nc1ccn[nH]1	3
Cathepsin K	0.0257	Homo sapiens	CCCC[C@H](NC(=O)O[C@H](Cn1cc(cn1)-c1ccc(cc1)C(F)(F)F)C(C)(C)C)C(=O)C(=O)Nc1ccn[nH]1	3
Cathepsin K	0.0288	Homo sapiens	CCCC[C@H](NC(=O)O[C@H](Cc1nnc(o1)-c1ccc(cc1)C(F)(F)F)C(C)(C)C)C(=O)C(=O)Nc1ccn[nH]1	3
Cathepsin K	0.031	Homo sapiens	COc1ccc(CCNC(=O)c2cnc(nc2NCC(C)(C)C)C#N)cc1OCCn1ccnc1	3
Cathepsin K	0.047	Homo sapiens	CN1CCN(CC1)c1ccc(CCNC(=O)c2cnc(nc2NC2CCCCC2)C#N)cc1	3
Cathepsin K	0.048	Homo sapiens	C[C@@H](CC1CCCCC1)OC(=O)C1CCN1C#N	3
