Ligand SMILES	Potency
COC1=CC(=O)N([C@H]1Cc1c[nH]c2ccccc12)C(=O)\C=C\[C@H](CCc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C	3
O=C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC1CCCCC1)NC(=O)c1cc2ccccc2[nH]1	3
COC1=CC(=O)N([C@H]1Cc1c[nH]c2ccccc12)C(=O)\C=C\[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC1CCCCC1)NC(=O)C1CCN(C)CC1	3
COC1=CC(=O)N([C@H]1Cc1c[nH]c2ccccc12)C(=O)\C=C\[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)C1CCN(C)CC1	3
CCCCC1CCC(CC1)OC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O	3
CC(C)C[C@H](NC(=O)OCC1CCC(F)(F)CC1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O	3
Cc1cccc(O[C@H]2CCN3C[C@H]2OC3=O)c1C	2
CC(C)CCNC(=O)[C@H](CC(C)C)NC(=O)[C@H]1O[C@@H]1C(O)=O	2
Cc1cccc(C[C@H](NC(=O)C(c2ccccc2)c2ccccc2)C(=O)N[C@@H](COCc2cccc(c2)C(O)=O)C#N)c1	2
O=C1O[C@@H]2CN1CC[C@@H]2OCc1ccccc1	2
Cc1cccc(C[C@H](NC(=O)c2ccc(Cl)cc2F)C(=O)N[C@@H](COCc2cccc(c2)C(O)=O)C#N)c1	2
CCCNC(=O)[C@H]1O[C@@H]1C(=O)N[C@@H]([C@@H](C)CC)C(=O)N1CCC[C@H]1C(O)=O	2
CCOC(=O)[C@H]1O[C@@H]1C(=O)N[C@@H]([C@@H](C)CC)C(=O)N1CCC[C@H]1C(O)=O	2
C[C@@H](CC1CCCCC1)OC(=O)C1CCN1C#N	2
CC(=O)c1c(Nc2ccc(cc2)C(C)(C)C)nc2c(Cl)cc(cc2c1O)[N+]([O-])=O	2
Cc1cccc(C[C@H](Nc2ccc3COC(=O)c3c2)C(=O)N[C@@H](COCc2ccc(F)c(c2)C(O)=O)C#N)c1	2
CC(C)C[C@H](NC(=O)[C@H]1O[C@@H]1C(O)=O)C(=O)NCCCCN=C(N)N	2
CN1C(=O)c2ccc(N[C@@H](Cc3cccc(C)c3)C(=O)N[C@@H](COCc3cccc(c3)C(O)=O)C#N)cc2C1=O	2
Cc1cccc(C[C@H](Nc2ccc3COC(=O)c3c2)C(=O)N[C@@H](COCc2cccc(c2)-n2cnnn2)C#N)c1	2
O=C1O[C@@H]2CN1CC[C@@H]2Oc1ccccc1	2
Cc1cccc(C[C@H](Nc2ccc3c(c2)C(=O)OC3(C)C)C(=O)N[C@@H](COCc2cccc(c2)C(O)=O)C#N)c1	2
Cc1cccc(C[C@H](Nc2ccc3CCC(=O)c3c2)C(=O)N[C@@H](COCc2cccc(c2)C(O)=O)C#N)c1	2
Cc1cccc(C[C@H](NC(=O)C(c2ccccc2)c2ccccc2)C(=O)N[C@@H](CC#Cc2cccc(c2)C(O)=O)C#N)c1	2
CN1CCN(CC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCc1ccccc1)C=CS(=O)(=O)c1ccccc1	2
Cc1cccc(C[C@H](Nc2ccc3COC(=O)c3c2)C(=O)N[C@@H](COCc2cccc(c2)C(O)=O)C#N)c1	2
Cc1cccc(C[C@H](NC(=O)c2ccc(F)cc2F)C(=O)N[C@@H](COCc2cccc(c2)C(O)=O)C#N)c1	2
CC[C@H](C)[C@H](N(C)C)C(=O)O[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)\C=C\C(=O)N1[C@@H](C)C(OC)=CC1=O	2
CC(C)CO[C@H]1CCN2C[C@H]1OC2=O	2
