Method,Category,File_Index,Test_Accuracy,Precision,Recall,F1-Score
Variance,B,1,0.9689978361129761,0.9694485153210265,0.9689978370583994,0.9689262879553977
Variance,B,2,0.9639509916305542,0.9642263937423333,0.9639509733237203,0.9638559390687873
Variance,B,3,0.9675558805465698,0.9676349336693724,0.9675558759913482,0.9673997337476095
Variance,B,4,0.9639509916305542,0.9639930691159121,0.9639509733237203,0.963796135058806
Variance,B,5,0.9668349027633667,0.9672926501770075,0.9668348954578226,0.9666237309495652
Variance,B,6,0.9653929471969604,0.9660040905638195,0.9653929343907715,0.9652616476403318
Variance,S,1,0.8835341334342957,0.8851247680562946,0.8835341365461847,0.8835769137015879
Variance,S,2,0.8738955855369568,0.8772250251349256,0.8738955823293173,0.8746018583829188
Variance,S,3,0.87469881772995,0.8775785743652511,0.8746987951807229,0.8745599734128907
Variance,S,4,0.8730923533439636,0.8771349759831117,0.8730923694779117,0.8730518549920872
Variance,S,5,0.8666666746139526,0.8676213886475297,0.8666666666666667,0.8665363136916671
Variance,S,6,0.8803212642669678,0.8832808767443442,0.8803212851405623,0.88056549233459
Variance,D,1,0.9660736322402954,0.9670176298028857,0.9660736450144808,0.9661059736314742
Variance,D,2,0.9702110290527344,0.9705700515887556,0.9702110053785685,0.9701163896592743
Variance,D,3,0.9718659520149231,0.9724440171713202,0.9718659495242036,0.9718569130641634
Variance,D,4,0.9669011235237122,0.9677302234583038,0.9669011170872983,0.9668667289042934
Variance,D,5,0.9718659520149231,0.9720033692897738,0.9718659495242036,0.9717927349505465
Variance,D,6,0.9664874076843262,0.9674644258997678,0.9664873810508895,0.9665075316636897
Variance,K,1,0.9270729422569275,0.9269815578194699,0.9270729270729271,0.9265131358736723
Variance,K,2,0.9110888838768005,0.9117441570457803,0.9110889110889111,0.910723915021417
Variance,K,3,0.9220778942108154,0.9255616452884113,0.922077922077922,0.9218727286491325
Variance,K,4,0.919080913066864,0.9194633364473852,0.919080919080919,0.9187940281673729
Variance,K,5,0.9200799465179443,0.9208284339282862,0.9200799200799201,0.9194797615921124
Variance,K,6,0.9160839319229126,0.9194640812059669,0.916083916083916,0.9154456475657675
