Method,Category,File_Index,Test_Accuracy,Precision,Recall,F1-Score
RFE,B,1,0.9675558805465698,0.9674878164566835,0.9675558759913482,0.9674363456862948
RFE,B,2,0.968276858329773,0.9683181649994399,0.9682768565248738,0.9681627437818263
RFE,B,3,0.9697188138961792,0.9697566954344019,0.969718817591925,0.969639303763679
RFE,B,4,0.9603460431098938,0.9608454677423558,0.9603460706560922,0.9601954995898154
RFE,B,5,0.9545782208442688,0.9547642246999012,0.9545782263878875,0.954519148120443
RFE,B,6,0.9401586055755615,0.9411819981182311,0.9401586157173756,0.9399926813903084
RFE,S,1,0.8698795437812805,0.8736365844436154,0.8698795180722891,0.8698018730614725
RFE,S,2,0.8763052225112915,0.8776304090168205,0.8763052208835341,0.8764233253194592
RFE,S,3,0.8706827163696289,0.8745255788211829,0.8706827309236947,0.8713249731534637
RFE,S,4,0.8682730793952942,0.8727906579230472,0.8682730923694779,0.8686439940899546
RFE,S,5,0.86104416847229,0.8669201847994986,0.8610441767068273,0.8612779898015361
RFE,S,6,0.8240963816642761,0.8271568855964896,0.8240963855421687,0.8234195820476989
RFE,D,1,0.9673148393630981,0.9684032660522639,0.9673148531237071,0.9673274998593897
RFE,D,2,0.9681423306465149,0.9688774011470116,0.9681423251965247,0.968166525204871
RFE,D,3,0.9615225195884705,0.9632872916618616,0.9615225486139842,0.9614921943828713
RFE,D,4,0.9640049934387207,0.9647996402032407,0.9640049648324369,0.9641029231950006
RFE,D,5,0.962763786315918,0.9641912581710504,0.9627637567232106,0.962664008044819
RFE,D,6,0.9594538807868958,0.9597730000317577,0.9594538684319405,0.9593085311347651
RFE,K,1,0.9180819392204285,0.9175473124478889,0.9180819180819181,0.917362225715822
RFE,K,2,0.9200799465179443,0.9213835353144366,0.9200799200799201,0.919562681827532
RFE,K,3,0.919080913066864,0.9196734795009393,0.919080919080919,0.9188262897901258
RFE,K,4,0.9260739088058472,0.9278518960927806,0.926073926073926,0.9252753623736987
RFE,K,5,0.9210789203643799,0.9224487584458411,0.9210789210789211,0.9205108198644759
RFE,K,6,0.8841158747673035,0.8848239484686099,0.8841158841158842,0.8829153374193118
