Method,Category,File_Index,Test_Accuracy,Precision,Recall,F1-Score
Correlation,B,1,0.9711607694625854,0.9716005329222748,0.9711607786589762,0.9710346055145948
Correlation,B,2,0.9639509916305542,0.9639145787220054,0.9639509733237203,0.9638712477978894
Correlation,B,3,0.898341715335846,0.8995738880851906,0.8983417447728911,0.898210478637559
Correlation,S,1,0.8843373656272888,0.8865815258479512,0.8843373493975903,0.8843265473405466
Correlation,S,2,0.8481927514076233,0.8464858924275791,0.8481927710843373,0.8465961039355744
Correlation,S,3,0.6401606202125549,0.6297851502540344,0.6401606425702812,0.631388216165559
Correlation,D,1,0.9739346504211426,0.9745182090547888,0.9739346297062474,0.9739538894502121
Correlation,D,2,0.9573851823806763,0.9582135592706179,0.9573851882498966,0.9573208960873238
Correlation,D,3,0.8551923632621765,0.8590458488352849,0.85519238725693,0.8552291897450959
Correlation,K,1,0.9340659379959106,0.9354930873123399,0.9340659340659341,0.9334797821169467
Correlation,K,2,0.9150848984718323,0.915954139116305,0.9150849150849151,0.9143247966359555
Correlation,K,3,0.7092906832695007,0.7137966365972792,0.7092907092907093,0.7045839669336106
