Method,Category,File_Index,Test_Accuracy,Precision,Recall,F1-Score
Correlation,B,1,0.9711607694625854,0.9716005329222748,0.9711607786589762,0.9710346055145948
Correlation,B,2,0.9639509916305542,0.9639145787220054,0.9639509733237203,0.9638712477978894
Correlation,B,3,0.898341715335846,0.8995738880851906,0.8983417447728911,0.898210478637559
Correlation,S,1,0.8843373656272888,0.8865815258479512,0.8843373493975903,0.8843265473405466
Correlation,S,2,0.8481927514076233,0.8464858924275791,0.8481927710843373,0.8465961039355744
Correlation,S,3,0.6401606202125549,0.6297851502540344,0.6401606425702812,0.631388216165559
Correlation,D,1,0.9739346504211426,0.9745182090547888,0.9739346297062474,0.9739538894502121
Correlation,D,2,0.9573851823806763,0.9582135592706179,0.9573851882498966,0.9573208960873238
Correlation,D,3,0.8551923632621765,0.8590458488352849,0.85519238725693,0.8552291897450959
Correlation,K,1,0.9340659379959106,0.9354930873123399,0.9340659340659341,0.9334797821169467
Correlation,K,2,0.9150848984718323,0.915954139116305,0.9150849150849151,0.9143247966359555
Correlation,K,3,0.7092906832695007,0.7137966365972792,0.7092907092907093,0.7045839669336106
Variance,B,1,0.9747656583786011,0.9747845598431052,0.9747656813266041,0.9747019607239696
Variance,B,2,0.9653929471969604,0.9656309269297354,0.9653929343907715,0.9653562026192504
Variance,B,3,0.9697188138961792,0.9698637106531169,0.969718817591925,0.9695882737446
Variance,S,1,0.8843373656272888,0.8858064722146842,0.8843373493975903,0.8836330265636338
Variance,S,2,0.8771084547042847,0.88031839284855,0.8771084337349397,0.8773618217072549
Variance,S,3,0.8827309012413025,0.8859535270023704,0.8827309236947791,0.8831116100714843
Variance,D,1,0.9706247448921204,0.9710496101905853,0.9706247414149772,0.970619478903289
Variance,D,2,0.9685560464859009,0.9691208662751477,0.9685560612329334,0.9684602611768157
Variance,D,3,0.9739346504211426,0.9741801255632314,0.9739346297062474,0.9738887961669076
Variance,K,1,0.9300699234008789,0.9309310986917965,0.9300699300699301,0.9296586472384656
Variance,K,2,0.9150848984718323,0.9150845610788615,0.9150849150849151,0.914548977816527
Variance,K,3,0.9310689568519592,0.9322838270508235,0.9310689310689311,0.9306463900141468
RFE,B,1,0.9675558805465698,0.9674878164566835,0.9675558759913482,0.9674363456862948
RFE,B,2,0.968276858329773,0.9683181649994399,0.9682768565248738,0.9681627437818263
RFE,B,3,0.9697188138961792,0.9697566954344019,0.969718817591925,0.969639303763679
RFE,S,1,0.8698795437812805,0.8736365844436154,0.8698795180722891,0.8698018730614725
RFE,S,2,0.8763052225112915,0.8776304090168205,0.8763052208835341,0.8764233253194592
RFE,S,3,0.8706827163696289,0.8745255788211829,0.8706827309236947,0.8713249731534637
RFE,D,1,0.9673148393630981,0.9684032660522639,0.9673148531237071,0.9673274998593897
RFE,D,2,0.9681423306465149,0.9688774011470116,0.9681423251965247,0.968166525204871
RFE,D,3,0.9615225195884705,0.9632872916618616,0.9615225486139842,0.9614921943828713
RFE,K,1,0.9180819392204285,0.9175473124478889,0.9180819180819181,0.917362225715822
RFE,K,2,0.9200799465179443,0.9213835353144366,0.9200799200799201,0.919562681827532
RFE,K,3,0.919080913066864,0.9196734795009393,0.919080919080919,0.9188262897901258
