Method,Category,File_Index,Test_Accuracy,Precision,Recall,F1-Score
Correlation,B,4,0.9718817472457886,0.9718634857532247,0.9718817591925017,0.9718068347200758
Correlation,B,5,0.9646719694137573,0.9647052291337791,0.9646719538572458,0.9645175221053487
Correlation,B,6,0.9754866361618042,0.9755551839993679,0.9754866618601298,0.975437530421725
Correlation,S,4,0.8755019903182983,0.8785438434825078,0.8755020080321285,0.8745472457706227
Correlation,S,5,0.8755019903182983,0.8781252521466503,0.8755020080321285,0.8751274848662342
Correlation,S,6,0.854618489742279,0.8573937396365583,0.8546184738955823,0.8536538859195518
Correlation,D,4,0.9681423306465149,0.9689253913205853,0.9681423251965247,0.9682106089122307
Correlation,D,5,0.9689698219299316,0.9698505256209298,0.9689697972693422,0.9689683951503134
Correlation,D,6,0.9640049934387207,0.9647881709149573,0.9640049648324369,0.9640617763046707
Correlation,K,4,0.9270729422569275,0.928482055867148,0.9270729270729271,0.9265966247937211
Correlation,K,5,0.9240759015083313,0.9237957357651754,0.9240759240759241,0.9235493423858232
Correlation,K,6,0.9160839319229126,0.9164482691383097,0.916083916083916,0.9151856783847703
Variance,B,4,0.9675558805465698,0.967725855617176,0.9675558759913482,0.967393844020521
Variance,B,5,0.968276858329773,0.968208758629778,0.9682768565248738,0.9681430735595218
Variance,B,6,0.9718817472457886,0.9720536304218871,0.9718817591925017,0.9717920179822149
Variance,S,4,0.8755019903182983,0.8803458537247565,0.8755020080321285,0.8760872886096063
Variance,S,5,0.8698795437812805,0.8727886985573476,0.8698795180722891,0.8695199064618226
Variance,S,6,0.8771084547042847,0.8783905031488206,0.8771084337349397,0.8770935401270413
Variance,D,4,0.9702110290527344,0.9710084885522712,0.9702110053785685,0.9701696704200053
Variance,D,5,0.9714522361755371,0.9719445679481072,0.9714522134877948,0.9713752933669002
Variance,D,6,0.9731071591377258,0.9735473293380789,0.9731071576334299,0.9730351407740168
Variance,K,4,0.9270729422569275,0.9268362462689337,0.9270729270729271,0.9266367611603527
Variance,K,5,0.9330669045448303,0.9332257221689918,0.9330669330669331,0.9324097273440294
Variance,K,6,0.9210789203643799,0.923323020573447,0.9210789210789211,0.9201932821108071
