Method,Category,File_Index,Test_Accuracy,Precision,Recall,F1-Score
Variance,B,4,0.9675558805465698,0.967637168017168,0.9675558759913482,0.9674227212673389
Variance,B,5,0.9697188138961792,0.9698901452123195,0.969718817591925,0.9695839405894983
Variance,B,6,0.9689978361129761,0.9690234164159547,0.9689978370583994,0.9688941900511631
Variance,S,4,0.8755019903182983,0.877627273832879,0.8755020080321285,0.8754869588347589
Variance,S,5,0.8730923533439636,0.8768128989032187,0.8730923694779117,0.8736281826941967
Variance,S,6,0.8763052225112915,0.8763964291042305,0.8763052208835341,0.8762319942714872
Variance,D,4,0.9718659520149231,0.9726362332504283,0.9718659495242036,0.9718079908877321
Variance,D,5,0.9677286148071289,0.9684184718520636,0.9677285891601158,0.9676930385084714
Variance,D,6,0.9635912179946899,0.9646837144137974,0.9635912287960281,0.9635640120288568
Variance,K,4,0.9270729422569275,0.9280855005954484,0.9270729270729271,0.9267016305775556
Variance,K,5,0.9250749349594116,0.9248527975483373,0.9250749250749251,0.9246348205798369
Variance,K,6,0.9330669045448303,0.9332968410120642,0.9330669330669331,0.9327156765927446
RFE,B,4,0.9603460431098938,0.9608454677423558,0.9603460706560922,0.9601954995898154
RFE,B,5,0.9545782208442688,0.9547642246999012,0.9545782263878875,0.954519148120443
RFE,B,6,0.9401586055755615,0.9411819981182311,0.9401586157173756,0.9399926813903084
RFE,S,4,0.8682730793952942,0.8727906579230472,0.8682730923694779,0.8686439940899546
RFE,S,5,0.86104416847229,0.8669201847994986,0.8610441767068273,0.8612779898015361
RFE,S,6,0.8240963816642761,0.8271568855964896,0.8240963855421687,0.8234195820476989
RFE,D,4,0.9640049934387207,0.9647996402032407,0.9640049648324369,0.9641029231950006
RFE,D,5,0.962763786315918,0.9641912581710504,0.9627637567232106,0.962664008044819
RFE,D,6,0.9594538807868958,0.9597730000317577,0.9594538684319405,0.9593085311347651
RFE,K,4,0.9260739088058472,0.9278518960927806,0.926073926073926,0.9252753623736987
RFE,K,5,0.9210789203643799,0.9224487584458411,0.9210789210789211,0.9205108198644759
RFE,K,6,0.8841158747673035,0.8848239484686099,0.8841158841158842,0.8829153374193118
