Method,Category,File_Index,Test_Accuracy,Precision,Recall,F1-Score,NFeatures
RFE,B,1,0.9689978361129761,0.9689552946697604,0.9689978370583994,0.96891305902692,150
RFE,B,2,0.9733237028121948,0.9734218604958499,0.9733237202595529,0.9732492858957645,130
RFE,B,3,0.962509036064148,0.9626685848889114,0.9625090122566691,0.9623344743075689,90
RFE,B,4,0.9661139249801636,0.9669708709036758,0.966113914924297,0.9659696020842643,50
RFE,B,5,0.9538572430610657,0.9540951294444068,0.9538572458543619,0.9537571991912455,30
RFE,B,6,0.9459264874458313,0.9473724245492336,0.9459264599855803,0.9457827618457159,20
RFE,S,1,0.8771084547042847,0.8784967219749334,0.8771084337349397,0.8767950610987527,150
RFE,S,2,0.8755019903182983,0.8822272632461722,0.8755020080321285,0.8757258986959002,130
RFE,S,3,0.8658634424209595,0.8683510059649995,0.8658634538152611,0.865555709002406,90
RFE,S,4,0.86104416847229,0.8643909082473983,0.8610441767068273,0.8611452269362146,50
RFE,S,5,0.8642570376396179,0.8690776891130882,0.8642570281124498,0.8643687759442481,30
RFE,S,6,0.8289156556129456,0.8286451006992582,0.8289156626506025,0.828057431693912,20
RFE,D,1,0.9722796678543091,0.9727489119195105,0.9722796855606123,0.9721910374890795,150
RFE,D,2,0.9635912179946899,0.9647284415292979,0.9635912287960281,0.9636226836165763,130
RFE,D,3,0.9677286148071289,0.9683474378428903,0.9677285891601158,0.967666672994738,90
RFE,D,4,0.9660736322402954,0.9667079641488834,0.9660736450144808,0.9660813268248449,50
RFE,D,5,0.9669011235237122,0.9675239863926942,0.9669011170872983,0.9668934788603119,30
RFE,D,6,0.962763786315918,0.9638639687965314,0.9627637567232106,0.9627872692383761,20
RFE,K,1,0.9370629191398621,0.9381515298431342,0.9370629370629371,0.9367742379131359,150
RFE,K,2,0.9240759015083313,0.9239963151388444,0.9240759240759241,0.923673324846829,130
RFE,K,3,0.9310689568519592,0.9328193757446082,0.9310689310689311,0.9308972967425763,90
RFE,K,4,0.9200799465179443,0.92064218705945,0.9200799200799201,0.9191829929214387,50
RFE,K,5,0.9080919027328491,0.9090673659597001,0.9080919080919081,0.9068353032380484,30
RFE,K,6,0.8821178674697876,0.882325500026849,0.8821178821178821,0.8804266930121261,20
