Method|Category|File_Index|Test_Accuracy|Precision|Recall|F1-Score|NFeatures
Variance|B|1|0.9689978361129761|0.9694485153210265|0.9689978370583994|0.9689262879553977|186
Variance|B|2|0.9639509916305542|0.9642263937423333|0.9639509733237203|0.9638559390687873|141
Variance|B|3|0.9675558805465698|0.9676349336693724|0.9675558759913482|0.9673997337476095|114
Variance|B|4|0.9639509916305542|0.9639930691159121|0.9639509733237203|0.963796135058806|113
Variance|B|5|0.9668349027633667|0.9672926501770075|0.9668348954578226|0.9666237309495652|112
Variance|B|6|0.9653929471969604|0.9660040905638195|0.9653929343907715|0.9652616476403318|108
Variance|S|1|0.8835341334342957|0.8851247680562946|0.8835341365461847|0.8835769137015879|169
Variance|S|2|0.8738955855369568|0.8772250251349256|0.8738955823293173|0.8746018583829188|139
Variance|S|3|0.87469881772995|0.8775785743652511|0.8746987951807229|0.8745599734128907|119
Variance|S|4|0.8730923533439636|0.8771349759831117|0.8730923694779117|0.8730518549920872|113
Variance|S|5|0.8666666746139526|0.8676213886475297|0.8666666666666667|0.8665363136916671|110
Variance|S|6|0.8803212642669678|0.8832808767443442|0.8803212851405623|0.88056549233459|109
Variance|D|1|0.9660736322402954|0.9670176298028857|0.9660736450144808|0.9661059736314742|176
Variance|D|2|0.9702110290527344|0.9705700515887556|0.9702110053785685|0.9701163896592743|138
Variance|D|3|0.9718659520149231|0.9724440171713202|0.9718659495242036|0.9718569130641634|117
Variance|D|4|0.9669011235237122|0.9677302234583038|0.9669011170872983|0.9668667289042934|114
Variance|D|5|0.9718659520149231|0.9720033692897738|0.9718659495242036|0.9717927349505465|113
Variance|D|6|0.9664874076843262|0.9674644258997678|0.9664873810508895|0.9665075316636897|113
Variance|K|1|0.9270729422569275|0.9269815578194699|0.9270729270729271|0.9265131358736723|175
Variance|K|2|0.9110888838768005|0.9117441570457803|0.9110889110889111|0.910723915021417|138
Variance|K|3|0.9220778942108154|0.9255616452884113|0.922077922077922|0.9218727286491325|114
Variance|K|4|0.919080913066864|0.9194633364473852|0.919080919080919|0.9187940281673729|112
Variance|K|5|0.9200799465179443|0.9208284339282862|0.9200799200799201|0.9194797615921124|112
Variance|K|6|0.9160839319229126|0.9194640812059669|0.916083916083916|0.9154456475657675|109
Correlation|B|1|0.9718817472457886|0.9720599861514807|0.9718817591925017|0.9717932662527496|168
Correlation|B|2|0.9718817472457886|0.9718678195905425|0.9718817591925017|0.9717865920196306|144
Correlation|B|3|0.9704397916793823|0.9705095758993871|0.9704397981254506|0.9703887910151962|127
Correlation|B|4|0.968276858329773|0.9686666343210348|0.9682768565248738|0.968188487089314|105
Correlation|B|5|0.9596250653266907|0.9597853447620318|0.9596250901225667|0.9596022900848125|81
Correlation|B|6|0.9466474652290344|0.9464240136760956|0.946647440519106|0.9464871835781942|56
Correlation|S|1|0.8843373656272888|0.8865178454688157|0.8843373493975903|0.8846616405868515|172
Correlation|S|2|0.8859437704086304|0.8877552950653496|0.8859437751004016|0.8864304558834869|142
Correlation|S|3|0.8763052225112915|0.8776227470736511|0.8763052208835341|0.8763185475903715|127
Correlation|S|4|0.8594377636909485|0.8602810210814529|0.8594377510040161|0.8585993000672847|93
Correlation|S|5|0.8481927514076233|0.8476652014474273|0.8481927710843373|0.8473841033134072|80
Correlation|S|6|0.7975903749465942|0.7964119647605721|0.7975903614457831|0.7961335405362414|62
Correlation|D|1|0.9710384607315063|0.9718078038444028|0.971038477451386|0.9710714944483684|167
Correlation|D|2|0.9697972536087036|0.9705020443396493|0.9697972693421597|0.9698042134760183|139
Correlation|D|3|0.9685560464859009|0.9688717285338841|0.9685560612329334|0.9685181810253843|119
Correlation|D|4|0.9702110290527344|0.9704040498171569|0.9702110053785685|0.9701642773178868|98
Correlation|D|5|0.9569714665412903|0.9577456292911077|0.9569714522134878|0.9569274097773665|80
Correlation|D|6|0.9544890522956848|0.9549109833149084|0.9544890359950352|0.954228940955557|63
Correlation|K|1|0.9290709495544434|0.9308012397256201|0.929070929070929|0.928254998823383|171
Correlation|K|2|0.9260739088058472|0.9259407167839198|0.926073926073926|0.9255793282535744|149
Correlation|K|3|0.9310689568519592|0.9319301305862382|0.9310689310689311|0.9303902875087524|129
Correlation|K|4|0.9270729422569275|0.9275381223488672|0.9270729270729271|0.9265994128345044|95
Correlation|K|5|0.9080919027328491|0.9090517290405257|0.9080919080919081|0.9076561724583543|76
Correlation|K|6|0.8741258978843689|0.8747803468458792|0.8741258741258742|0.8730397338200265|62
RFE|B|1|0.9689978361129761|0.9689552946697604|0.9689978370583994|0.96891305902692|150
RFE|B|2|0.9733237028121948|0.9734218604958499|0.9733237202595529|0.9732492858957645|130
RFE|B|3|0.962509036064148|0.9626685848889114|0.9625090122566691|0.9623344743075689|90
RFE|B|4|0.9661139249801636|0.9669708709036758|0.966113914924297|0.9659696020842643|50
RFE|B|5|0.9538572430610657|0.9540951294444068|0.9538572458543619|0.9537571991912455|30
RFE|B|6|0.9459264874458313|0.9473724245492336|0.9459264599855803|0.9457827618457159|20
RFE|S|1|0.8771084547042847|0.8784967219749334|0.8771084337349397|0.8767950610987527|150
RFE|S|2|0.8755019903182983|0.8822272632461722|0.8755020080321285|0.8757258986959002|130
RFE|S|3|0.8658634424209595|0.8683510059649995|0.8658634538152611|0.865555709002406|90
RFE|S|4|0.86104416847229|0.8643909082473983|0.8610441767068273|0.8611452269362146|50
RFE|S|5|0.8642570376396179|0.8690776891130882|0.8642570281124498|0.8643687759442481|30
RFE|S|6|0.8289156556129456|0.8286451006992582|0.8289156626506025|0.828057431693912|20
RFE|D|1|0.9722796678543091|0.9727489119195105|0.9722796855606123|0.9721910374890795|150
