Method,Category,File_Index,Test_Accuracy,Precision,Recall,F1-Score
Variance,B,1,0.9747656583786011,0.9747845598431052,0.9747656813266041,0.9747019607239696
Variance,B,2,0.9653929471969604,0.9656309269297354,0.9653929343907715,0.9653562026192504
Variance,B,3,0.9697188138961792,0.9698637106531169,0.969718817591925,0.9695882737446
Variance,B,4,0.9675558805465698,0.967637168017168,0.9675558759913482,0.9674227212673389
Variance,B,5,0.9697188138961792,0.9698901452123195,0.969718817591925,0.9695839405894983
Variance,B,6,0.9689978361129761,0.9690234164159547,0.9689978370583994,0.9688941900511631
Variance,S,1,0.8843373656272888,0.8858064722146842,0.8843373493975903,0.8836330265636338
Variance,S,2,0.8771084547042847,0.88031839284855,0.8771084337349397,0.8773618217072549
Variance,S,3,0.8827309012413025,0.8859535270023704,0.8827309236947791,0.8831116100714843
Variance,S,4,0.8755019903182983,0.877627273832879,0.8755020080321285,0.8754869588347589
Variance,S,5,0.8730923533439636,0.8768128989032187,0.8730923694779117,0.8736281826941967
Variance,S,6,0.8763052225112915,0.8763964291042305,0.8763052208835341,0.8762319942714872
Variance,D,1,0.9706247448921204,0.9710496101905853,0.9706247414149772,0.970619478903289
Variance,D,2,0.9685560464859009,0.9691208662751477,0.9685560612329334,0.9684602611768157
Variance,D,3,0.9739346504211426,0.9741801255632314,0.9739346297062474,0.9738887961669076
Variance,D,4,0.9718659520149231,0.9726362332504283,0.9718659495242036,0.9718079908877321
Variance,D,5,0.9677286148071289,0.9684184718520636,0.9677285891601158,0.9676930385084714
Variance,D,6,0.9635912179946899,0.9646837144137974,0.9635912287960281,0.9635640120288568
Variance,K,1,0.9300699234008789,0.9309310986917965,0.9300699300699301,0.9296586472384656
Variance,K,2,0.9150848984718323,0.9150845610788615,0.9150849150849151,0.914548977816527
Variance,K,3,0.9310689568519592,0.9322838270508235,0.9310689310689311,0.9306463900141468
Variance,K,4,0.9270729422569275,0.9280855005954484,0.9270729270729271,0.9267016305775556
Variance,K,5,0.9250749349594116,0.9248527975483373,0.9250749250749251,0.9246348205798369
Variance,K,6,0.9330669045448303,0.9332968410120642,0.9330669330669331,0.9327156765927446
